"System","Functional","BasisSet","Distance","Nucleus","HF_Energy","DFA_Energy","SIE_estimate"
"Triangle","LDA","def2-QZVPP",5.6,"H",-0.4062016067,-0.4790329755,-0.0728313688
"Triangle","LDA","def2-QZVPP",5.7,"H",-0.4077738733,-0.4812093252,-0.0734354519
"Triangle","LDA","def2-QZVPP",5.8,"H",-0.4093009854,-0.4833146613,-0.0740136759
"Triangle","LDA","def2-QZVPP",5.9,"H",-0.4107840778,-0.4853520364,-0.0745679586
"Triangle","LDA","def2-QZVPP",6,"H",-0.4122243531,-0.4873243602,-0.0751000071
"Triangle","LDA","def2-QZVPP",6.1,"H",-0.4136230588,-0.4892343922,-0.0756113334
"Triangle","LDA","def2-QZVPP",6.2,"H",-0.4149814697,-0.4910847707,-0.076103301
"Triangle","LDA","def2-QZVPP",6.3,"H",-0.4163008739,-0.4928780412,-0.0765771673
"Triangle","LDA","def2-QZVPP",6.4,"H",-0.4175825614,-0.4946166631,-0.0770341017
"Triangle","LDA","def2-QZVPP",6.5,"H",-0.418827813,-0.4963029861,-0.0774751731
"Triangle","LDA","def2-QZVPP",6.6,"H",-0.420037891,-0.4979392259,-0.0779013349
"Triangle","LDA","def2-QZVPP",6.7,"H",-0.4212140366,-0.4995274686,-0.078313432
"Triangle","LDA","def2-QZVPP",6.8,"H",-0.4223574606,-0.5010696828,-0.0787122222
"Triangle","LDA","def2-QZVPP",6.9,"H",-0.423469344,-0.5025677528,-0.0790984088
"Triangle","LDA","def2-QZVPP",7,"H",-0.4245508331,-0.5040234921,-0.0794726589999999
"Triangle","LDA","def2-QZVPP",7.1,"H",-0.4256030361,-0.5054386398,-0.0798356037
"Triangle","LDA","def2-QZVPP",7.2,"H",-0.4266270255,-0.5068148541,-0.0801878286000001
"Triangle","LDA","def2-QZVPP",7.3,"H",-0.4276238335,-0.5081536954,-0.0805298619
"Triangle","LDA","def2-QZVPP",7.4,"H",-0.4285944552,-0.5094566323,-0.0808621771
"Triangle","LDA","def2-QZVPP",7.5,"H",-0.4295398472,-0.5107250499,-0.0811852027
"Triangle","LDA","def2-QZVPP",7.6,"H",-0.4304609264,-0.5119602638,-0.0814993374
"Triangle","LDA","def2-QZVPP",7.7,"H",-0.4313585744,-0.513163538,-0.0818049636
"Triangle","LDA","def2-QZVPP",7.8,"H",-0.4322336356,-0.5143360845,-0.0821024489
"Triangle","LDA","def2-QZVPP",7.9,"H",-0.433086919,-0.5154790679,-0.0823921489
"Triangle","LDA","def2-QZVPP",8,"H",-0.4339192004,-0.5165935987,-0.0826743983
"Triangle","LDA","def2-QZVPP",8.1,"H",-0.4347312209,-0.5176807266,-0.0829495057
"Triangle","LDA","def2-QZVPP",8.2,"H",-0.435523692,-0.5187414455,-0.0832177535
"Triangle","LDA","def2-QZVPP",8.3,"H",-0.4362972929,-0.5197766918,-0.0834793988999999
"Triangle","LDA","def2-QZVPP",8.4,"H",-0.4370526751,-0.5207873568,-0.0837346817
"Triangle","LDA","def2-QZVPP",8.5,"H",-0.4377904623,-0.5217742921,-0.0839838298
"Triangle","LDA","def2-QZVPP",8.6,"H",-0.4385112503,-0.5227383138,-0.0842270635
"Triangle","LDA","def2-QZVPP",8.7,"H",-0.4392156112,-0.5236802095,-0.0844645983
"Triangle","LDA","def2-QZVPP",8.8,"H",-0.4399040912,-0.5246007347,-0.0846966435
"Triangle","LDA","def2-QZVPP",8.9,"H",-0.4405772148,-0.5255006159,-0.0849234011
"Triangle","LDA","def2-QZVPP",9,"H",-0.4412354843,-0.5263805474,-0.0851450631
"Triangle","LDA","def2-QZVPP",9.1,"H",-0.44187938,-0.5272411877,-0.0853618077
"Triangle","LDA","def2-QZVPP",9.2,"H",-0.4425093639,-0.5280831638,-0.0855737999
"Triangle","LDA","def2-QZVPP",9.3,"H",-0.4431258773,-0.5289070695,-0.0857811922
"Triangle","LDA","def2-QZVPP",9.4,"H",-0.4437293446,-0.5297134721,-0.0859841275
"Triangle","LDA","def2-QZVPP",9.5,"H",-0.4443201729,-0.5305029158,-0.0861827429
"Triangle","LDA","def2-QZVPP",9.6,"H",-0.4448987521,-0.5312759223,-0.0863771702
"Triangle","LDA","def2-QZVPP",9.7,"H",-0.4454654575,-0.5320329969,-0.0865675394000001
"Triangle","LDA","def2-QZVPP",9.8,"H",-0.4460206483,-0.5327746255,-0.0867539772
"Triangle","LDA","def2-QZVPP",9.9,"H",-0.4465646705,-0.5335012782,-0.0869366077000001
"Triangle","LDA","def2-QZVPP",10,"H",-0.4470978566,-0.5342134078,-0.0871155512
"Triangle","LDA","def2-QZVPP",10.1,"H",-0.4476205252,-0.5349114487,-0.0872909235
"Triangle","LDA","def2-QZVPP",10.2,"H",-0.4481329836,-0.5355958196,-0.087462836
"Triangle","LDA","def2-QZVPP",10.3,"H",-0.4486355272,-0.5362669205,-0.0876313933
"Triangle","LDA","def2-QZVPP",10.4,"H",-0.4491284399,-0.536925136,-0.0877966961
"Triangle","LDA","def2-QZVPP",10.5,"H",-0.4496119966,-0.5375708357,-0.0879588391
"Triangle","LDA","def2-QZVPP",10.6,"H",-0.4500864576,-0.5382043702,-0.0881179126
"Triangle","LDA","def2-QZVPP",10.7,"H",-0.4505520781,-0.5388260809,-0.0882740028
"Triangle","LDA","def2-QZVPP",10.8,"H",-0.4510091019,-0.5394362939,-0.088427192
"Triangle","LDA","def2-QZVPP",10.9,"H",-0.4514577646,-0.5400353247,-0.0885775601000001
"Triangle","LDA","def2-QZVPP",11,"H",-0.4518982928,-0.5406234761,-0.0887251833
"Triangle","LDA","def2-QZVPP",11.1,"H",-0.4523309055,-0.5412010411,-0.0888701356
"Triangle","LDA","def2-QZVPP",11.2,"H",-0.4527558139,-0.5417683024,-0.0890124884999999
"Triangle","LDA","def2-QZVPP",11.3,"H",-0.4531732211,-0.5423255321,-0.089152311
"Triangle","LDA","def2-QZVPP",11.4,"H",-0.4535833242,-0.5428729941,-0.0892896699
"Triangle","LDA","def2-QZVPP",11.5,"H",-0.4539863124,-0.5434109418,-0.0894246294000001
"Triangle","LDA","def2-QZVPP",11.6,"H",-0.4543823693,-0.5439396211,-0.0895572518000001
"Triangle","LDA","def2-QZVPP",11.7,"H",-0.4547716719,-0.5444592695,-0.0896875976
"Triangle","LDA","def2-QZVPP",11.8,"H",-0.455154391,-0.5449701157,-0.0898157247
"Triangle","LDA","def2-QZVPP",11.9,"H",-0.4555306922,-0.5454723818,-0.0899416896
"Triangle","LDA","def2-QZVPP",12,"H",-0.4559007352,-0.5459662815,-0.0900655463
"Triangle","LDA","def2-QZVPP",12.1,"H",-0.4562646747,-0.5464520222,-0.0901873475
"Triangle","LDA","def2-QZVPP",12.2,"H",-0.4566226602,-0.5469298046,-0.0903071444
"Triangle","LDA","def2-QZVPP",12.3,"H",-0.4569748365,-0.5473998221,-0.0904249856000001
"Triangle","LDA","def2-QZVPP",12.4,"H",-0.4573213436,-0.5478622629,-0.0905409193
"Triangle","LDA","def2-QZVPP",12.5,"H",-0.4576623172,-0.5483173081,-0.0906549909
"Triangle","BLYP","def2-QZVPP",0.1,"H",11.729139652,11.7404489131,0.0113092610999992
"Triangle","BLYP","def2-QZVPP",0.2,"H",4.2938336555,4.3066731608,0.0128395052999997
"Triangle","BLYP","def2-QZVPP",0.3,"H",2.072262765,2.0844492796,0.0121865145999998
"Triangle","BLYP","def2-QZVPP",0.4,"H",1.0903157732,1.1009596545,0.0106438813
"Triangle","BLYP","def2-QZVPP",0.5,"H",0.5722151832,0.5809510462,0.00873586300000007
"Triangle","BLYP","def2-QZVPP",0.6,"H",0.2688373739,0.2755360461,0.00669867219999998
"Triangle","BLYP","def2-QZVPP",0.7,"H",0.078639359,0.0832579788,0.00461861979999999
"Triangle","BLYP","def2-QZVPP",0.8,"H",-0.046463467,-0.0439457959,0.0025176711
"Triangle","BLYP","def2-QZVPP",0.9,"H",-0.1316687581,-0.1312754282,0.000393329900000017
"Triangle","BLYP","def2-QZVPP",1,"H",-0.1912312373,-0.1929940774,-0.0017628401
"Triangle","BLYP","def2-QZVPP",1.1,"H",-0.2337018991,-0.2376657018,-0.00396380269999999
"Triangle","BLYP","def2-QZVPP",1.2,"H",-0.2644459199,-0.2706703053,-0.00622438540000003
"Triangle","BLYP","def2-QZVPP",1.3,"H",-0.2869575543,-0.2955162295,-0.00855867520000003
"Triangle","BLYP","def2-QZVPP",1.4,"H",-0.3035830142,-0.3145641837,-0.0109811695
"Triangle","BLYP","def2-QZVPP",1.5,"H",-0.3159368404,-0.3294443275,-0.0135074871
"Triangle","BLYP","def2-QZVPP",1.6,"H",-0.3251549611,-0.3413077626,-0.0161528015
"Triangle","BLYP","def2-QZVPP",1.7,"H",-0.3320530338,-0.3509835228,-0.018930489
"Triangle","BLYP","def2-QZVPP",1.8,"H",-0.3372260881,-0.359077725,-0.0218516369
"Triangle","BLYP","def2-QZVPP",1.9,"H",-0.3411136423,-0.3660374752,-0.0249238329
"Triangle","BLYP","def2-QZVPP",2,"H",-0.3440447707,-0.3721940911,-0.0281493204
"Triangle","BLYP","def2-QZVPP",2.1,"H",-0.3462691906,-0.3777934958,-0.0315243052
"Triangle","BLYP","def2-QZVPP",2.2,"H",-0.3479778455,-0.3830177458,-0.0350399003
"Triangle","BLYP","def2-QZVPP",2.3,"H",-0.3493170382,-0.388000168,-0.0386831298
"Triangle","BLYP","def2-QZVPP",2.4,"H",-0.3503999628,-0.3928364105,-0.0424364477
"Triangle","BLYP","def2-QZVPP",2.5,"H",-0.351317645,-0.3975930691,-0.0462754241
"Triangle","BLYP","def2-QZVPP",2.6,"H",-0.3521489627,-0.4023144874,-0.0501655247
"Triangle","BLYP","def2-QZVPP",2.7,"H",-0.3529674699,-0.4070280335,-0.0540605636
"Triangle","BLYP","def2-QZVPP",2.8,"H",-0.3538423624,-0.4117477095,-0.0579053471
"Triangle","BLYP","def2-QZVPP",2.9,"H",-0.3548333674,-0.4164766339,-0.0616432665
"Triangle","BLYP","def2-QZVPP",3,"H",-0.355983272,-0.4212088304,-0.0652255584
