Distance HF_Energy DFA_Energy Coefficient Exponent
0.090 3.9346911195 3.9406592389 -0.6291113 140.0051158
0.091 3.8710948311 3.8770793818 -0.6333803 140.0051510
0.092 3.8089085901 3.8149095478 -0.6376783 140.0051748
0.093 3.7480869985 3.7541043365 -0.6419954 140.0052011
0.094 3.6885865875 3.6946202770 -0.6463424 140.0052278
0.095 3.6303657159 3.6364157259 -0.6507108 140.0055238
0.096 3.5733844749 3.5794507723 -0.6553687 140.0449934
0.097 3.5176045989 3.5236871487 -0.6835735 143.6908064
0.098 3.4629893819 3.4690881468 -4.3655600 530.0038168
0.099 3.4095035983 3.4156185394 -2.6181402 369.5816470
0.100 3.3571134296 3.3632445057 -0.6726200 139.9626600
0.10 3.3571134296 3.3632445057 -0.6728681 140.00000
0.12 2.4972746966 2.5037172587 -0.7640844 139.62627
0.14 1.8907389741 1.8974642232 -0.8612313 139.25254
0.16 1.4425602021 1.4495315972 -0.9625623 138.87881
0.18 1.0998854300 1.1070621500 -1.0658422 138.50507
0.20 0.8309428172 0.8382826907 -1.1696586 138.13134
0.22 0.6154820921 0.6229436202 -1.2725615 137.75761
0.24 0.4399863987 0.4475297895 -1.3731242 137.38388
0.26 0.2950898003 0.3026773978 -1.4703806 137.01015
0.28 0.1740991784 0.1816956395 -1.5631405 136.63642
0.30 0.0721057288 0.0796780896 -1.6505432 136.26269
0.32 -0.0145712248 -0.0070535668 -1.7318899 135.88896
0.34 -0.0887444552 -0.0813098312 -1.8059993 135.51522
0.36 -0.1525991207 -0.1452737287 -1.8723528 135.14149
0.38 -0.2078572751 -0.2006653387 -1.9302117 134.76776
0.40 -0.2558931333 -0.2488570617 -1.9789519 134.39403
0.42 -0.2978155365 -0.2909560725 -2.0179239 134.02030
0.44 -0.3345280806 -0.3278644366 -2.0466571 133.64657
0.46 -0.3667737053 -0.3603236877 -2.0648488 133.27284
0.48 -0.3951682495 -0.3889483748 -2.0717209 132.89910
0.50 -0.4202260223 -0.4142516249 -2.0673152 132.52537
0.52 -0.4423795018 -0.4366648353 -2.0510854 132.15164
0.54 -0.4619946593 -0.4565529910 -2.0229803 131.77791
0.56 -0.4793829880 -0.4742266884 -1.9826651 131.40418
0.58 -0.4948110262 -0.4899516531 -1.9300198 131.03045
0.60 -0.5085079580 -0.5039563374 -1.8649554 130.65672
0.62 -0.5206717293 -0.5164380315 -1.7873351 130.28299
0.64 -0.5314740072 -0.5275678176 -1.6970754 129.90925
0.66 -0.5410642329 -0.5374946170 -1.5943215 129.53552
0.68 -0.5495729580 -0.5463485189 -1.4787683 129.16179
0.70 -0.5571146097 -0.5542435386 -1.3508613 128.78806
0.72 -0.5637897965 -0.5612799164 -1.2101667 128.41433
0.74 -0.5696872399 -0.5675460415 -1.0570398 128.04060
0.76 -0.5748854008 -0.5731200749 -0.8914404 127.66687
0.78 -0.5794538532 -0.5780713177 -0.7133905 127.29313
0.80 -0.5834544486 -0.5824613725 -0.5232913 126.91940
0.82 -0.5869423070 -0.5863451321 -0.3210575 126.54567
0.84 -0.5899666615 -0.5897716232 -0.1068905 126.17194
0.86 -0.5925715821 -0.5927847274 0.1189858 125.79821
0.88 -0.5947965967 -0.5954238024 0.3564975 125.42448
0.90 -0.5966772268 -0.5977242169 0.6053569 125.05075
0.92 -0.5982454507 -0.5997178115 0.8654090 124.67701
0.94 -0.5995301054 -0.6014332999 1.1364011 124.30328
0.96 -0.6005572365 -0.6028966184 1.4182546 123.92955
0.98 -0.6013504044 -0.6041312292 1.7104112 123.55582
1.00 -0.6019309521 -0.6051583875 2.0130280 123.18209
1.02 -0.6023182406 -0.6059973747 2.3257087 122.80836
1.04 -0.6025298564 -0.6066657053 2.6481426 122.43463
1.06 -0.6025817942 -0.6071793075 2.9802531 122.06090
1.08 -0.6024886188 -0.6075526839 3.3215989 121.68716
1.10 -0.6022636086 -0.6077990534 3.6722709 121.31343
1.12 -0.6019188824 -0.6079304780 4.0314996 120.93970
