Distance HF_Energy DFA_Energy Coefficient Exponent
0.10 9.2669791712 9.2785930663 -0.4886410 140.00000
0.12 7.1952224492 7.2069967162 -0.5834221 139.65728
0.14 5.7480567210 5.7597887608 -0.6773140 139.31457
0.16 4.6883063993 4.6998322180 -0.7672100 138.97185
0.18 3.8843428723 3.8955439830 -0.8512112 138.62914
0.20 3.2574534077 3.2682415968 -0.9274720 138.28642
0.22 2.7577742892 2.7680851522 -0.9945947 137.94370
0.24 2.3522560439 2.3620444027 -1.0513192 137.60099
0.26 2.0181683697 2.0274039993 -1.0972187 137.25827
0.28 1.7393901043 1.7480538229 -1.1313164 136.91556
0.30 1.5041924930 1.5122729149 -1.1531797 136.57284
0.32 1.3038600189 1.3113515279 -1.1624254 136.23012
0.34 1.1317917334 1.1386935295 -1.1588468 135.88741
0.36 0.9828957891 0.9892106949 -1.1423648 135.54469
0.38 0.8531895083 0.8589224328 -1.1129143 135.20198
0.40 0.7395254296 0.7446827155 -1.0704213 134.85926
0.42 0.6393861631 0.6439754482 -1.0149897 134.51654
0.44 0.5507341915 0.5547641351 -0.9465616 134.17383
0.46 0.4719041720 0.4753840821 -0.8658453 133.83111
0.48 0.4015236540 0.4044631645 -0.7723747 133.48840
0.50 0.3384530765 0.3408619236 -0.6666202 133.14568
0.52 0.2817396098 0.2836275016 -0.5490766 132.80296
0.54 0.2305812825 0.2319578353 -0.4197550 132.46025
0.56 0.1842988865 0.1851735966 -0.2790751 132.11753
0.58 0.1423138259 0.1426960543 -0.1272865 131.77481
0.60 0.1041305455 0.1040294960 0.0350756 131.43210
0.62 0.0693224986 0.0687471877 0.2077682 131.08938
0.64 0.0375208623 0.0364800805 0.3903614 130.74667
0.66 0.0084053876 0.0069076581 0.5824591 130.40395
0.68 -0.0183030807 -0.0202495368 0.7836880 130.06123
0.70 -0.0428487643 -0.0452360554 0.9936579 129.71852
0.72 -0.0654460605 -0.0682666408 1.2120372 129.37580
0.74 -0.0862838003 -0.0895304765 1.4385132 129.03309
0.76 -0.1055288165 -0.1091947488 1.6726520 128.69037
0.78 -0.1233289447 -0.1274076410 1.9140845 128.34765
0.80 -0.1398155603 -0.1443008644 2.1625421 128.00494
0.82 -0.1551057316 -0.1599918081 2.4175141 127.66222
0.84 -0.1693040535 -0.1745853700 2.6787574 127.31951
0.86 -0.1825042155 -0.1881755232 2.9460540 126.97679
0.88 -0.1947903449 -0.2008466611 3.2186575 126.63407
0.90 -0.2062381610 -0.2126747524 3.4967134 126.29136
0.92 -0.2169159678 -0.2237283363 3.7796955 125.94864
0.94 -0.2268855101 -0.2340693811 4.0671002 125.60593
0.96 -0.2362027145 -0.2437540279 4.3587684 125.26321
0.98 -0.2449183311 -0.2528332341 4.6545176 124.92049
1.00 -0.2530784939 -0.2613533338 4.9535257 124.57778
1.02 -0.2607252089 -0.2693565279 5.2559749 124.23506
1.04 -0.2678967845 -0.2768813146 5.5615124 123.89235
1.06 -0.2746282086 -0.2839628669 5.8695678 123.54963
1.08 -0.2809514834 -0.2906333672 6.1799519 123.20691
1.10 -0.2868959204 -0.2969223028 6.4924776 122.86420
1.12 -0.2924884031 -0.3028567290 6.8066957 122.52148
1.14 -0.2977536202 -0.3084615020 7.1225461 122.17877
1.16 -0.3027142733 -0.3137594862 7.4396474 121.83605
1.18 -0.3073912626 -0.3187717398 7.7578564 121.49333
1.20 -0.3118038526 -0.3235176808 8.0768706 121.15062
1.22 -0.3159698206 -0.3280152354 8.3964746 120.80790
1.24 -0.3199055904 -0.3322809709 8.7164144 120.46519
1.26 -0.3236263515 -0.3363302155 9.0364950 120.12247
1.28 -0.3271461676 -0.3401771666 9.3565238 119.77975
1.30 -0.3304780732 -0.3438349881 9.6762386 119.43704
1.32 -0.3336341612 -0.3473158981 9.9955137 119.09432
1.34 -0.3366256620 -0.3506312482 10.3141129 118.75160
1.36 -0.3394630147 -0.3537915951 10.6318742 118.40889
1.38 -0.3421559316 -0.3568067658 10.9486779 118.06617
1.40 -0.3447134603 -0.3596859197 11.2642272 117.72346
1.42 -0.3471440218 -0.3624375875 11.5784813 117.38074
1.44 -0.3494554805 -0.3650697406 11.8913347 117.03802
1.46 -0.3516551731 -0.3675898209 12.2025346 116.69531
1.48 -0.3537499521 -0.3700047845 12.5119830 116.35259
1.50 -0.3557462222 -0.3723211376 12.8191115 116.00988
1.52 -0.3576499729 -0.3745449700 13.1247263 115.66716
1.54 -0.3594668093 -0.3766819848 13.4279453 115.32444
1.56 -0.3612019795 -0.3787375272 13.7290918 114.98173
1.58 -0.3628604002 -0.3807166092 14.0278720 114.63901
1.60 -0.3644466798 -0.3826239332 14.3242963 114.29630
1.62 -0.3659651399 -0.3844639132 14.6181801 113.95358
1.64 -0.3674198355 -0.3862406948 14.9095198 113.61086
1.66 -0.3688145725 -0.3879581731 15.1982322 113.26815
1.68 -0.3701529249 -0.3896200100 15.4842711 112.92543
1.70 -0.3714382506 -0.3912296495 15.7675459 112.58272
