Functional Exponent Coefficient Energy
BLYP 0.5 -100 -89.0280380583
BLYP 0.5 -99.85 -88.8877005663
BLYP 0.5 -99.7 -88.7473698215
BLYP 0.5 -99.55 -88.6070458442
BLYP 0.5 -99.4 -88.4667286544
BLYP 0.5 -99.25 -88.3264182725
BLYP 0.5 -99.1 -88.1861147191
BLYP 0.5 -98.95 -88.0458180145
BLYP 0.5 -98.8 -87.9055281794
BLYP 0.5 -98.65 -87.7652452344
BLYP 0.5 -98.5 -87.6249692004
BLYP 0.5 -98.35 -87.4847000981
BLYP 0.5 -98.2 -87.3444379485
BLYP 0.5 -98.05 -87.2041827727
BLYP 0.5 -97.9 -87.0639345917
BLYP 0.5 -97.75 -86.9236934267
BLYP 0.5 -97.6 -86.7834592991
BLYP 0.5 -97.45 -86.6432322303
BLYP 0.5 -97.3 -86.5030122416
BLYP 0.5 -97.15 -86.3627993547
BLYP 0.5 -97 -86.2225935912
BLYP 0.5 -96.85 -86.0823949728
BLYP 0.5 -96.7 -85.9422035214
BLYP 0.5 -96.55 -85.802019259
BLYP 0.5 -96.4 -85.6618422075
BLYP 0.5 -96.25 -85.521672389
BLYP 0.5 -96.1 -85.3815098257
BLYP 0.5 -95.95 -85.24135454
BLYP 0.5 -95.8 -85.1012065542
BLYP 0.5 -95.65 -84.9610658909
BLYP 0.5 -95.5 -84.8209325725
BLYP 0.5 -95.35 -84.6808066218
BLYP 0.5 -95.2 -84.5406880615
BLYP 0.5 -95.05 -84.4005769146
BLYP 0.5 -94.9 -84.2604732039
BLYP 0.5 -94.75 -84.1203769525
BLYP 0.5 -94.6 -83.9802881836
BLYP 0.5 -94.45 -83.8402069205
BLYP 0.5 -94.3 -83.7001331864
BLYP 0.5 -94.15 -83.5600670049
BLYP 0.5 -94 -83.4200083995
BLYP 0.5 -93.85 -83.2799573939
BLYP 0.5 -93.7 -83.1399140117
BLYP 0.5 -93.55 -82.9998782769
BLYP 0.5 -93.4 -82.8598502134
BLYP 0.5 -93.25 -82.7198298453
BLYP 0.5 -93.1 -82.5798171967
BLYP 0.5 -92.95 -82.4398122918
BLYP 0.5 -92.8 -82.2998151551
BLYP 0.5 -92.65 -82.159825811
BLYP 0.5 -92.5 -82.0198442841
BLYP 0.5 -92.35 -81.879870599
BLYP 0.5 -92.2 -81.7399047805
BLYP 0.5 -92.05 -81.5999468535
BLYP 0.5 -91.9 -81.459996843
BLYP 0.5 -91.75 -81.3200547741
BLYP 0.5 -91.6 -81.180120672
BLYP 0.5 -91.45 -81.040194562
BLYP 0.5 -91.3 -80.9002764696
BLYP 0.5 -91.15 -80.7603664201
BLYP 0.5 -91 -80.6204644394
BLYP 0.5 -90.85 -80.480570553
BLYP 0.5 -90.7 -80.3406847869
BLYP 0.5 -90.55 -80.2008071671
BLYP 0.5 -90.4 -80.0609377196
BLYP 0.5 -90.25 -79.9210764706
BLYP 0.5 -90.1 -79.7812234464
BLYP 0.5 -89.95 -79.6413786734
BLYP 0.5 -89.8 -79.5015421781
BLYP 0.5 -89.65 -79.3617139871
BLYP 0.5 -89.5 -79.2218941273
BLYP 0.5 -89.35 -79.0820826255
BLYP 0.5 -89.2 -78.9422795086
BLYP 0.5 -89.05 -78.8024848038
BLYP 0.5 -88.9 -78.6626985383
BLYP 0.5 -88.75 -78.5229207393
BLYP 0.5 -88.6 -78.3831514344
BLYP 0.5 -88.45 -78.243390651
BLYP 0.5 -88.3 -78.103638417
BLYP 0.5 -88.15 -77.96389476
BLYP 0.5 -88 -77.824159708
BLYP 0.5 -87.85 -77.6844332891
BLYP 0.5 -87.7 -77.5447155313
BLYP 0.5 -87.55 -77.405006463
BLYP 0.5 -87.4 -77.2653061125
BLYP 0.5 -87.25 -77.1256145085
BLYP 0.5 -87.1 -76.9859316795
BLYP 0.5 -86.95 -76.8462576542
BLYP 0.5 -86.8 -76.7065924617
BLYP 0.5 -86.65 -76.5669361309
BLYP 0.5 -86.5 -76.4272886909
BLYP 0.5 -86.35 -76.287650171
BLYP 0.5 -86.2 -76.1480206007
BLYP 0.5 -86.05 -76.0084000094
BLYP 0.5 -85.9 -75.8687884267
BLYP 0.5 -85.75 -75.7291858825
BLYP 0.5 -85.6 -75.5895924066
BLYP 0.5 -85.45 -75.4500080291
BLYP 0.5 -85.3 -75.3104327801
BLYP 0.5 -85.15 -75.1708666899
BLYP 0.5 -85 -75.031309789
BLYP 0.5 -84.85 -74.8917621079
BLYP 0.5 -84.7 -74.7522236772
BLYP 0.5 -84.55 -74.6126945278
BLYP 0.5 -84.4 -74.4731746907
BLYP 0.5 -84.25 -74.3336641969
BLYP 0.5 -84.1 -74.1941630776
BLYP 0.5 -83.95 -74.0546713643
BLYP 0.5 -83.8 -73.9151890883
BLYP 0.5 -83.65 -73.7757162813
BLYP 0.5 -83.5 -73.636252975
BLYP 0.5 -83.35 -73.4967992014
BLYP 0.5 -83.2 -73.3573549925
BLYP 0.5 -83.05 -73.2179203805
BLYP 0.5 -82.9 -73.0784953976
BLYP 0.5 -82.75 -72.9390800763
BLYP 0.5 -82.6 -72.7996744493
BLYP 0.5 -82.45 -72.6602785492
BLYP 0.5 -82.3 -72.520892409
BLYP 0.5 -82.15 -72.3815160616
BLYP 0.5 -82 -72.2421495402
BLYP 0.5 -81.85 -72.1027928782
BLYP 0.5 -81.7 -71.9634461088
BLYP 0.5 -81.55 -71.8241092659
BLYP 0.5 -81.4 -71.684782383
BLYP 0.5 -81.25 -71.5454654942
BLYP 0.5 -81.1 -71.4061586333
BLYP 0.5 -80.95 -71.2668618346
BLYP 0.5 -80.8 -71.1275751325
BLYP 0.5 -80.65 -70.9882985614
BLYP 0.5 -80.5 -70.8490321559
BLYP 0.5 -80.35 -70.7097759508
BLYP 0.5 -80.2 -70.5705299811
BLYP 0.5 -80.05 -70.4312942818
BLYP 0.5 -79.9 -70.2920688881
BLYP 0.5 -79.75 -70.1528538355
BLYP 0.5 -79.6 -70.0136491594
BLYP 0.5 -79.45 -69.8744548957
BLYP 0.5 -79.3 -69.7352710801
BLYP 0.5 -79.15 -69.5960977486
BLYP 0.5 -79 -69.4569349374
BLYP 0.5 -78.85 -69.3177826828
BLYP 0.5 -78.7 -69.1786410214
BLYP 0.5 -78.55 -69.0395099896
BLYP 0.5 -78.4 -68.9003896244
BLYP 0.5 -78.25 -68.7612799627
BLYP 0.5 -78.1 -68.6221810416
BLYP 0.5 -77.95 -68.4830928984
BLYP 0.5 -77.8 -68.3440155705
BLYP 0.5 -77.65 -68.2049490956
BLYP 0.5 -77.5 -68.0658935113
BLYP 0.5 -77.35 -67.9268488557
BLYP 0.5 -77.2 -67.7878151669
BLYP 0.5 -77.05 -67.648792483
BLYP 0.5 -76.9 -67.5097808426
BLYP 0.5 -76.75 -67.3707802842
BLYP 0.5 -76.6 -67.2317908467
BLYP 0.5 -76.45 -67.0928125689
BLYP 0.5 -76.3 -66.9538454899
BLYP 0.5 -76.15 -66.8148896492
BLYP 0.5 -76 -66.675945086
BLYP 0.5 -75.85 -66.53701184
BLYP 0.5 -75.7 -66.398089951
BLYP 0.5 -75.55 -66.2591794591
BLYP 0.5 -75.4 -66.1202804043
BLYP 0.5 -75.25 -65.9813928269
BLYP 0.5 -75.1 -65.8425167676
BLYP 0.5 -74.95 -65.7036522669
