Functional Exponent Coefficient Energy
BLYP 0.015 -175 -173.4300136979
BLYP 0.015 -174.7 -173.1322206018
BLYP 0.015 -174.4 -172.8344292131
BLYP 0.015 -174.1 -172.5366395365
BLYP 0.015 -173.8 -172.2388515768
BLYP 0.015 -173.5 -171.9410653387
BLYP 0.015 -173.2 -171.6432808272
BLYP 0.015 -172.9 -171.345498047
BLYP 0.015 -172.6 -171.047717003
BLYP 0.015 -172.3 -170.7499377001
BLYP 0.015 -172 -170.4521601431
BLYP 0.015 -171.7 -170.1543843371
BLYP 0.015 -171.4 -169.8566102869
BLYP 0.015 -171.1 -169.5588379974
BLYP 0.015 -170.8 -169.2610674737
BLYP 0.015 -170.5 -168.9632987207
BLYP 0.015 -170.2 -168.6655317434
BLYP 0.015 -169.9 -168.367766547
BLYP 0.015 -169.6 -168.0700031363
BLYP 0.015 -169.3 -167.7722415166
BLYP 0.015 -169 -167.4744816928
BLYP 0.015 -168.7 -167.1767236701
BLYP 0.015 -168.4 -166.8789674537
BLYP 0.015 -168.1 -166.5812130486
BLYP 0.015 -167.8 -166.2834604601
BLYP 0.015 -167.5 -165.9857096933
BLYP 0.015 -167.2 -165.6879607534
BLYP 0.015 -166.9 -165.3902136457
BLYP 0.015 -166.6 -165.0924683754
BLYP 0.015 -166.3 -164.7947249478
BLYP 0.015 -166 -164.4969833683
BLYP 0.015 -165.7 -164.199243642
BLYP 0.015 -165.4 -163.9015057743
BLYP 0.015 -165.1 -163.6037697706
BLYP 0.015 -164.8 -163.3060356363
BLYP 0.015 -164.5 -163.0083033768
BLYP 0.015 -164.2 -162.7105729974
BLYP 0.015 -163.9 -162.4128445037
BLYP 0.015 -163.6 -162.1151179011
BLYP 0.015 -163.3 -161.817393195
BLYP 0.015 -163 -161.519670391
BLYP 0.015 -162.7 -161.2219494946
BLYP 0.015 -162.4 -160.9242305113
BLYP 0.015 -162.1 -160.6265134468
BLYP 0.015 -161.8 -160.3287983066
BLYP 0.015 -161.5 -160.0310850963
BLYP 0.015 -161.2 -159.7333738215
BLYP 0.015 -160.9 -159.435664488
BLYP 0.015 -160.6 -159.1379571014
BLYP 0.015 -160.3 -158.8402516674
BLYP 0.015 -160 -158.5425481918
BLYP 0.015 -159.7 -158.2448466802
BLYP 0.015 -159.4 -157.9471471385
BLYP 0.015 -159.1 -157.6494495725
BLYP 0.015 -158.8 -157.3517539879
BLYP 0.015 -158.5 -157.0540603907
BLYP 0.015 -158.2 -156.7563687866
BLYP 0.015 -157.9 -156.4586791816
BLYP 0.015 -157.6 -156.1609915817
BLYP 0.015 -157.3 -155.8633059926
BLYP 0.015 -157 -155.5656224204
BLYP 0.015 -156.7 -155.2679408711
BLYP 0.015 -156.4 -154.9702613507
BLYP 0.015 -156.1 -154.6725838652
BLYP 0.015 -155.8 -154.3749084206
BLYP 0.015 -155.5 -154.0772350231
BLYP 0.015 -155.2 -153.7795636788
BLYP 0.015 -154.9 -153.4818943937
BLYP 0.015 -154.6 -153.1842271741
BLYP 0.015 -154.3 -152.8865620261
BLYP 0.015 -154 -152.5888989559
BLYP 0.015 -153.7 -152.2912379698
BLYP 0.015 -153.4 -151.9935790739
BLYP 0.015 -153.1 -151.6959222747
BLYP 0.015 -152.8 -151.3982675783
BLYP 0.015 -152.5 -151.1006149912
BLYP 0.015 -152.2 -150.8029645196
BLYP 0.015 -151.9 -150.50531617
BLYP 0.015 -151.6 -150.2076699488
BLYP 0.015 -151.3 -149.9100258624
BLYP 0.015 -151 -149.6123839172
BLYP 0.015 -150.7 -149.3147441198
BLYP 0.015 -150.4 -149.0171064766
BLYP 0.015 -150.1 -148.7194709943
BLYP 0.015 -149.8 -148.4218376793
BLYP 0.015 -149.5 -148.1242065382
BLYP 0.015 -149.2 -147.8265775777
BLYP 0.015 -148.9 -147.5289508045
BLYP 0.015 -148.6 -147.2313262251
BLYP 0.015 -148.3 -146.9337038464
BLYP 0.015 -148 -146.6360836749
BLYP 0.015 -147.7 -146.3384657176
BLYP 0.015 -147.4 -146.040849981
BLYP 0.015 -147.1 -145.7432364722
BLYP 0.015 -146.8 -145.4456251979
BLYP 0.015 -146.5 -145.1480161649
BLYP 0.015 -146.2 -144.8504093802
BLYP 0.015 -145.9 -144.5528048507
BLYP 0.015 -145.6 -144.2552025834
BLYP 0.015 -145.3 -143.9576025851
BLYP 0.015 -145 -143.660004863
BLYP 0.015 -144.7 -143.3624094241
BLYP 0.015 -144.4 -143.0648162754
BLYP 0.015 -144.1 -142.7672254241
BLYP 0.015 -143.8 -142.4696368772
BLYP 0.015 -143.5 -142.1720506419
BLYP 0.015 -143.2 -141.8744667254
BLYP 0.015 -142.9 -141.5768851349
BLYP 0.015 -142.6 -141.2793058776
BLYP 0.015 -142.3 -140.9817289609
BLYP 0.015 -142 -140.684154392
BLYP 0.015 -141.7 -140.3865821783
BLYP 0.015 -141.4 -140.0890123271
BLYP 0.015 -141.1 -139.7914448458
BLYP 0.015 -140.8 -139.4938797419
BLYP 0.015 -140.5 -139.1963170228
BLYP 0.015 -140.2 -138.8987566959
BLYP 0.015 -139.9 -138.6011987689
BLYP 0.015 -139.6 -138.3036432492
BLYP 0.015 -139.3 -138.0060901445
BLYP 0.015 -139 -137.7085394623
BLYP 0.015 -138.7 -137.4109912104
BLYP 0.015 -138.4 -137.1134453963
BLYP 0.015 -138.1 -136.8159020277
BLYP 0.015 -137.8 -136.5183611126
BLYP 0.015 -137.5 -136.2208226585
BLYP 0.015 -137.2 -135.9232866733
BLYP 0.015 -136.9 -135.6257531649
BLYP 0.015 -136.6 -135.328222141
BLYP 0.015 -136.3 -135.0306936098
BLYP 0.015 -136 -134.7331675789
