Functional Exponent Coefficient Energy
BLYP 0.1 -100 -95.8620936937
BLYP 0.1 -99.85 -95.7163982702
BLYP 0.1 -99.7 -95.5707054437
BLYP 0.1 -99.55 -95.425015218
BLYP 0.1 -99.4 -95.2793275974
BLYP 0.1 -99.25 -95.133642586
BLYP 0.1 -99.1 -94.987960188
BLYP 0.1 -98.95 -94.8422804074
BLYP 0.1 -98.8 -94.6966032486
BLYP 0.1 -98.65 -94.5509287158
BLYP 0.1 -98.5 -94.4052568132
BLYP 0.1 -98.35 -94.2595875452
BLYP 0.1 -98.2 -94.1139209161
BLYP 0.1 -98.05 -93.9682569304
BLYP 0.1 -97.9 -93.8225955928
BLYP 0.1 -97.75 -93.6769369081
BLYP 0.1 -97.6 -93.5312808818
BLYP 0.1 -97.45 -93.3856275557
BLYP 0.1 -97.3 -93.2399769582
BLYP 0.1 -97.15 -93.0943290336
BLYP 0.1 -97 -92.9486837847
BLYP 0.1 -96.85 -92.8030412152
BLYP 0.1 -96.7 -92.6574013289
BLYP 0.1 -96.55 -92.5117641302
BLYP 0.1 -96.4 -92.3661296232
BLYP 0.1 -96.25 -92.2204978122
BLYP 0.1 -96.1 -92.0748687015
BLYP 0.1 -95.95 -91.9292422956
BLYP 0.1 -95.8 -91.7836185989
BLYP 0.1 -95.65 -91.6379976158
BLYP 0.1 -95.5 -91.4923793507
BLYP 0.1 -95.35 -91.3467638083
BLYP 0.1 -95.2 -91.2011509931
BLYP 0.1 -95.05 -91.0555409095
BLYP 0.1 -94.9 -90.9099335622
BLYP 0.1 -94.75 -90.7643289558
BLYP 0.1 -94.6 -90.6187270948
BLYP 0.1 -94.45 -90.473127984
BLYP 0.1 -94.3 -90.327531628
BLYP 0.1 -94.15 -90.1819380315
BLYP 0.1 -94 -90.0363471992
BLYP 0.1 -93.85 -89.8907591359
BLYP 0.1 -93.7 -89.7451738462
BLYP 0.1 -93.55 -89.5995913351
BLYP 0.1 -93.4 -89.4540116072
BLYP 0.1 -93.25 -89.3084346674
BLYP 0.1 -93.1 -89.1628605205
BLYP 0.1 -92.95 -89.0172891715
BLYP 0.1 -92.8 -88.8717206252
BLYP 0.1 -92.65 -88.7261548864
BLYP 0.1 -92.5 -88.5805919602
BLYP 0.1 -92.35 -88.4350318515
BLYP 0.1 -92.2 -88.2894745653
BLYP 0.1 -92.05 -88.1439201066
BLYP 0.1 -91.9 -87.9983684803
BLYP 0.1 -91.75 -87.8528196917
BLYP 0.1 -91.6 -87.7072737456
BLYP 0.1 -91.45 -87.5617306473
BLYP 0.1 -91.3 -87.4161904018
BLYP 0.1 -91.15 -87.2706530143
BLYP 0.1 -91 -87.1251184899
BLYP 0.1 -90.85 -86.9795868339
BLYP 0.1 -90.7 -86.8340580514
BLYP 0.1 -90.55 -86.6885321477
BLYP 0.1 -90.4 -86.5430091281
BLYP 0.1 -90.25 -86.3974889978
BLYP 0.1 -90.1 -86.2519717622
BLYP 0.1 -89.95 -86.1064574266
BLYP 0.1 -89.8 -85.9609459964
BLYP 0.1 -89.65 -85.8154374769
BLYP 0.1 -89.5 -85.6699318736
BLYP 0.1 -89.35 -85.5244291919
BLYP 0.1 -89.2 -85.3789294373
BLYP 0.1 -89.05 -85.2334326152
BLYP 0.1 -88.9 -85.0879387312
BLYP 0.1 -88.75 -84.9424477909
BLYP 0.1 -88.6 -84.7969597998
BLYP 0.1 -88.45 -84.6514747635
BLYP 0.1 -88.3 -84.5059926876
BLYP 0.1 -88.15 -84.3605135778
BLYP 0.1 -88 -84.2150374399
BLYP 0.1 -87.85 -84.0695642794
BLYP 0.1 -87.7 -83.9240941021
BLYP 0.1 -87.55 -83.7786269138
BLYP 0.1 -87.4 -83.6331627204
BLYP 0.1 -87.25 -83.4877015275
BLYP 0.1 -87.1 -83.3422433411
BLYP 0.1 -86.95 -83.1967881671
BLYP 0.1 -86.8 -83.0513360113
BLYP 0.1 -86.65 -82.9058868798
BLYP 0.1 -86.5 -82.7604407784
BLYP 0.1 -86.35 -82.6149977132
BLYP 0.1 -86.2 -82.4695576902
BLYP 0.1 -86.05 -82.3241207155
BLYP 0.1 -85.9 -82.1786867951
BLYP 0.1 -85.75 -82.0332559353
BLYP 0.1 -85.6 -81.887828142
BLYP 0.1 -85.45 -81.7424034217
BLYP 0.1 -85.3 -81.5969817803
BLYP 0.1 -85.15 -81.4515632243
BLYP 0.1 -85 -81.3061477598
BLYP 0.1 -84.85 -81.1607353932
BLYP 0.1 -84.7 -81.0153261309
BLYP 0.1 -84.55 -80.8699199791
BLYP 0.1 -84.4 -80.7245169444
BLYP 0.1 -84.25 -80.5791170331
BLYP 0.1 -84.1 -80.4337202518
BLYP 0.1 -83.95 -80.288326607
BLYP 0.1 -83.8 -80.1429361051
BLYP 0.1 -83.65 -79.9975487527
BLYP 0.1 -83.5 -79.8521645565
BLYP 0.1 -83.35 -79.7067835232
BLYP 0.1 -83.2 -79.5614056592
BLYP 0.1 -83.05 -79.4160309714
BLYP 0.1 -82.9 -79.2706594665
BLYP 0.1 -82.75 -79.1252911511
BLYP 0.1 -82.6 -78.979926032
BLYP 0.1 -82.45 -78.834564116
BLYP 0.1 -82.3 -78.68920541
BLYP 0.1 -82.15 -78.5438499209
BLYP 0.1 -82 -78.3984976587
BLYP 0.1 -81.85 -78.253148649
BLYP 0.1 -81.7 -78.1078028982
BLYP 0.1 -81.55 -77.9624603941
BLYP 0.1 -81.4 -77.8171211413
BLYP 0.1 -81.25 -77.6717851467
BLYP 0.1 -81.1 -77.526452418
BLYP 0.1 -80.95 -77.3811229623
BLYP 0.1 -80.8 -77.2357967874
BLYP 0.1 -80.65 -77.0904739006
BLYP 0.1 -80.5 -76.9451543094
BLYP 0.1 -80.35 -76.7998380214
BLYP 0.1 -80.2 -76.6545250441
BLYP 0.1 -80.05 -76.5092153852
BLYP 0.1 -79.9 -76.3639090523
BLYP 0.1 -79.75 -76.2186060532
BLYP 0.1 -79.6 -76.0733063957
BLYP 0.1 -79.45 -75.9280100877
BLYP 0.1 -79.3 -75.7827171374
BLYP 0.1 -79.15 -75.6374275534
BLYP 0.1 -79 -75.4921413571
BLYP 0.1 -78.85 -75.3468585937
BLYP 0.1 -78.7 -75.2015792226
BLYP 0.1 -78.55 -75.0563032501
BLYP 0.1 -78.4 -74.9110306836
BLYP 0.1 -78.25 -74.7657615309
BLYP 0.1 -78.1 -74.6204958
BLYP 0.1 -77.95 -74.4752334987
BLYP 0.1 -77.8 -74.3299746352
BLYP 0.1 -77.65 -74.1847192177
BLYP 0.1 -77.5 -74.0394672543
BLYP 0.1 -77.35 -73.8942187534
BLYP 0.1 -77.2 -73.7489737232
BLYP 0.1 -77.05 -73.6037321722
BLYP 0.1 -76.9 -73.4584941089
BLYP 0.1 -76.75 -73.3132595416
BLYP 0.1 -76.6 -73.1680284791
BLYP 0.1 -76.45 -73.0228009298
BLYP 0.1 -76.3 -72.8775769024
BLYP 0.1 -76.15 -72.7323564057
BLYP 0.1 -76 -72.5871394484
BLYP 0.1 -75.85 -72.4419260394
BLYP 0.1 -75.7 -72.2967161874
BLYP 0.1 -75.55 -72.1515099016
BLYP 0.1 -75.4 -72.0063071907
BLYP 0.1 -75.25 -71.861108064
BLYP 0.1 -75.1 -71.7159125304
BLYP 0.1 -74.95 -71.5707205991
BLYP 0.1 -74.8 -71.4255322794
BLYP 0.1 -74.65 -71.2803475805
BLYP 0.1 -74.5 -71.1351665118
BLYP 0.1 -74.35 -70.9899890825
BLYP 0.1 -74.2 -70.8448153023
BLYP 0.1 -74.05 -70.6996451805
BLYP 0.1 -73.9 -70.5544787267
BLYP 0.1 -73.75 -70.4093159505
BLYP 0.1 -73.6 -70.2641568617
BLYP 0.1 -73.45 -70.11900147
BLYP 0.1 -73.3 -69.9738497852
BLYP 0.1 -73.15 -69.8287018171
BLYP 0.1 -73 -69.6835575757
BLYP 0.1 -72.85 -69.5384170709
BLYP 0.1 -72.7 -69.3932803129
BLYP 0.1 -72.55 -69.2481473118
BLYP 0.1 -72.4 -69.1030180777
BLYP 0.1 -72.25 -68.957892621
BLYP 0.1 -72.1 -68.8127709519
BLYP 0.1 -71.95 -68.6676530809
BLYP 0.1 -71.8 -68.5225390184
BLYP 0.1 -71.65 -68.377428775
BLYP 0.1 -71.5 -68.2323223614
BLYP 0.1 -71.35 -68.0872197882
BLYP 0.1 -71.2 -67.9421210663
BLYP 0.1 -71.05 -67.7970262075
BLYP 0.1 -70.9 -67.6519352233
BLYP 0.1 -70.75 -67.5068481355
BLYP 0.1 -70.6 -67.3617649536
BLYP 0.1 -70.45 -67.2166856792
BLYP 0.1 -70.3 -67.0716103228
BLYP 0.1 -70.15 -66.9265388957
BLYP 0.1 -70 -66.7814714089
BLYP 0.1 -69.85 -66.6364078739
BLYP 0.1 -69.7 -66.491348302
BLYP 0.1 -69.55 -66.3462927047
BLYP 0.1 -69.4 -66.2012410936
BLYP 0.1 -69.25 -66.0561934804
BLYP 0.1 -69.1 -65.9111498768
BLYP 0.1 -68.95 -65.7661102944
BLYP 0.1 -68.8 -65.6210747475
BLYP 0.1 -68.65 -65.4760432454
BLYP 0.1 -68.5 -65.3310158001
BLYP 0.1 -68.35 -65.1859924237
BLYP 0.1 -68.2 -65.0409731286
BLYP 0.1 -68.05 -64.895957927
BLYP 0.1 -67.9 -64.7509468314
BLYP 0.1 -67.75 -64.6059398545
BLYP 0.1 -67.6 -64.4609370103
BLYP 0.1 -67.45 -64.3159383105
BLYP 0.1 -67.3 -64.1709437677
BLYP 0.1 -67.15 -64.0259533948
BLYP 0.1 -67 -63.8809672046
BLYP 0.1 -66.85 -63.7359852102
BLYP 0.1 -66.7 -63.5910074247
BLYP 0.1 -66.55 -63.4460338612
BLYP 0.1 -66.4 -63.3010645332
BLYP 0.1 -66.25 -63.1560994539
BLYP 0.1 -66.1 -63.0111386369
BLYP 0.1 -65.95 -62.8661820958
BLYP 0.1 -65.8 -62.7212298441
BLYP 0.1 -65.65 -62.5762818957
BLYP 0.1 -65.5 -62.4313382644
BLYP 0.1 -65.35 -62.2863989643
BLYP 0.1 -65.2 -62.1414640093
BLYP 0.1 -65.05 -61.9965334136
BLYP 0.1 -64.9 -61.8516071915
BLYP 0.1 -64.75 -61.7066853573
BLYP 0.1 -64.6 -61.5617679255
BLYP 0.1 -64.45 -61.4168549106
BLYP 0.1 -64.3 -61.2719463272
BLYP 0.1 -64.15 -61.1270421901
BLYP 0.1 -64 -60.982142514
BLYP 0.1 -63.85 -60.8372473201
BLYP 0.1 -63.7 -60.692356621
BLYP 0.1 -63.55 -60.5474704285
BLYP 0.1 -63.4 -60.402588758
BLYP 0.1 -63.25 -60.2577116252
BLYP 0.1 -63.1 -60.1128390454
BLYP 0.1 -62.95 -59.9679710345
BLYP 0.1 -62.8 -59.8231076083
BLYP 0.1 -62.65 -59.6782487826
BLYP 0.1 -62.5 -59.5333945732
BLYP 0.1 -62.35 -59.3885449988
BLYP 0.1 -62.2 -59.2437000767
BLYP 0.1 -62.05 -59.0988598197
BLYP 0.1 -61.9 -58.9540242445
BLYP 0.1 -61.75 -58.8091933679
BLYP 0.1 -61.6 -58.6643672067
BLYP 0.1 -61.45 -58.5195457776
BLYP 0.1 -61.3 -58.3747290978
BLYP 0.1 -61.15 -58.2299171844
BLYP 0.1 -61 -58.0851100546
BLYP 0.1 -60.85 -57.9403077259
BLYP 0.1 -60.7 -57.7955102159
BLYP 0.1 -60.55 -57.6507175421
BLYP 0.1 -60.4 -57.5059297224
BLYP 0.1 -60.25 -57.3611467747
BLYP 0.1 -60.1 -57.2163687171
BLYP 0.1 -59.95 -57.0715955679
BLYP 0.1 -59.8 -56.9268273453
BLYP 0.1 -59.65 -56.7820640678
BLYP 0.1 -59.5 -56.6373057542
BLYP 0.1 -59.35 -56.4925524232
BLYP 0.1 -59.2 -56.3478040936
BLYP 0.1 -59.05 -56.2030607847
BLYP 0.1 -58.9 -56.0583225156
BLYP 0.1 -58.75 -55.9135893057
BLYP 0.1 -58.6 -55.7688611746
BLYP 0.1 -58.45 -55.6241381418
BLYP 0.1 -58.3 -55.4794202273
BLYP 0.1 -58.15 -55.3347074509
BLYP 0.1 -58 -55.189999833
BLYP 0.1 -57.85 -55.0452973937
BLYP 0.1 -57.7 -54.9006001535
BLYP 0.1 -57.55 -54.7559081333
BLYP 0.1 -57.4 -54.6112213535
BLYP 0.1 -57.25 -54.4665398353
BLYP 0.1 -57.1 -54.3218635999
BLYP 0.1 -56.95 -54.1771926684
BLYP 0.1 -56.8 -54.0325270623
BLYP 0.1 -56.65 -53.8878668034
BLYP 0.1 -56.5 -53.7432119134
BLYP 0.1 -56.35 -53.5985624143
BLYP 0.1 -56.2 -53.4539183288
BLYP 0.1 -56.05 -53.3092796786
BLYP 0.1 -55.9 -53.1646464864
BLYP 0.1 -55.75 -53.0200187748
BLYP 0.1 -55.6 -52.8753965667
BLYP 0.1 -55.45 -52.7307798851
BLYP 0.1 -55.3 -52.5861687535
BLYP 0.1 -55.15 -52.4415631954
BLYP 0.1 -55 -52.2969632347
BLYP 0.1 -54.85 -52.152368895
BLYP 0.1 -54.7 -52.0077802003
BLYP 0.1 -54.55 -51.8631971748
BLYP 0.1 -54.4 -51.7186198431
BLYP 0.1 -54.25 -51.5740482298
BLYP 0.1 -54.1 -51.4294823603
BLYP 0.1 -53.95 -51.2849222601
BLYP 0.1 -53.8 -51.1403679537
BLYP 0.1 -53.65 -50.9958194665
BLYP 0.1 -53.5 -50.8512768242
BLYP 0.1 -53.35 -50.7067400527
BLYP 0.1 -53.2 -50.5622091782
BLYP 0.1 -53.05 -50.4176842271
BLYP 0.1 -52.9 -50.2731652259
BLYP 0.1 -52.75 -50.1286522015
BLYP 0.1 -52.6 -49.9841451808
BLYP 0.1 -52.45 -49.8396441912
BLYP 0.1 -52.3 -49.6951492603
BLYP 0.1 -52.15 -49.5506604156
BLYP 0.1 -52 -49.4061776853
BLYP 0.1 -51.85 -49.2617010975
BLYP 0.1 -51.7 -49.1172306808
BLYP 0.1 -51.55 -48.9727664637
BLYP 0.1 -51.4 -48.8283084754
BLYP 0.1 -51.25 -48.6838567449
BLYP 0.1 -51.1 -48.5394113019
BLYP 0.1 -50.95 -48.3949721759
BLYP 0.1 -50.8 -48.250539397
BLYP 0.1 -50.65 -48.1061129954
BLYP 0.1 -50.5 -47.9616930017
BLYP 0.1 -50.35 -47.8172794466
BLYP 0.1 -50.2 -47.6728723612
BLYP 0.1 -50.05 -47.5284717767
BLYP 0.1 -49.9 -47.3840777249
BLYP 0.1 -49.75 -47.2396902375
BLYP 0.1 -49.6 -47.0953093467
BLYP 0.1 -49.45 -46.9509350851
BLYP 0.1 -49.3 -46.8065674852
BLYP 0.1 -49.15 -46.6622065802
BLYP 0.1 -49 -46.5178524034
BLYP 0.1 -48.85 -46.3735049883
BLYP 0.1 -48.7 -46.229164369
BLYP 0.1 -48.55 -46.0848305796
BLYP 0.1 -48.4 -45.9405036547
BLYP 0.1 -48.25 -45.7961836291
BLYP 0.1 -48.1 -45.651870538
BLYP 0.1 -47.95 -45.5075644169
BLYP 0.1 -47.8 -45.3632653016
BLYP 0.1 -47.65 -45.2189732282
BLYP 0.1 -47.5 -45.0746882332
BLYP 0.1 -47.35 -44.9304103534
BLYP 0.1 -47.2 -44.7861396258
BLYP 0.1 -47.05 -44.6418760881
BLYP 0.1 -46.9 -44.4976197779
BLYP 0.1 -46.75 -44.3533707334
BLYP 0.1 -46.6 -44.2091289933
BLYP 0.1 -46.45 -44.0648945963
BLYP 0.1 -46.3 -43.9206675816
BLYP 0.1 -46.15 -43.7764479889
BLYP 0.1 -46 -43.6322358582
BLYP 0.1 -45.85 -43.4880312297
BLYP 0.1 -45.7 -43.3438341442
BLYP 0.1 -45.55 -43.1996446428
BLYP 0.1 -45.4 -43.055462767
BLYP 0.1 -45.25 -42.9112885585
BLYP 0.1 -45.1 -42.7671220598
BLYP 0.1 -44.95 -42.6229633134
BLYP 0.1 -44.8 -42.4788123624
BLYP 0.1 -44.65 -42.3346692503
BLYP 0.1 -44.5 -42.190534021
BLYP 0.1 -44.35 -42.0464067187
BLYP 0.1 -44.2 -41.9022873882
BLYP 0.1 -44.05 -41.7581760747
BLYP 0.1 -43.9 -41.6140728237
BLYP 0.1 -43.75 -41.4699776812
BLYP 0.1 -43.6 -41.3258906937
BLYP 0.1 -43.45 -41.1818119082
BLYP 0.1 -43.3 -41.0377413719
BLYP 0.1 -43.15 -40.8936791326
BLYP 0.1 -43 -40.7496252387
BLYP 0.1 -42.85 -40.6055797389
BLYP 0.1 -42.7 -40.4615426824
BLYP 0.1 -42.55 -40.3175141189
BLYP 0.1 -42.4 -40.1734940986
BLYP 0.1 -42.25 -40.0294826721
BLYP 0.1 -42.1 -39.8854798906
BLYP 0.1 -41.95 -39.7414858058
