Functional Exponent Coefficient Energy
BLYP 250 -100 -0.5655731774
BLYP 250 -99.85 -0.5654067696
BLYP 250 -99.7 -0.5652406729
BLYP 250 -99.55 -0.5650748867
BLYP 250 -99.4 -0.56490941
BLYP 250 -99.25 -0.5647442421
BLYP 250 -99.1 -0.5645793822
BLYP 250 -98.95 -0.5644148294
BLYP 250 -98.8 -0.564250583
BLYP 250 -98.65 -0.5640866421
BLYP 250 -98.5 -0.5639230059
BLYP 250 -98.35 -0.5637596737
BLYP 250 -98.2 -0.5635966447
BLYP 250 -98.05 -0.563433918
BLYP 250 -97.9 -0.5632714928
BLYP 250 -97.75 -0.5631093685
BLYP 250 -97.6 -0.5629475442
BLYP 250 -97.45 -0.562786019
BLYP 250 -97.3 -0.5626247923
BLYP 250 -97.15 -0.5624638633
BLYP 250 -97 -0.5623032312
BLYP 250 -96.85 -0.5621428951
BLYP 250 -96.7 -0.5619828544
BLYP 250 -96.55 -0.5618231083
BLYP 250 -96.4 -0.5616636561
BLYP 250 -96.25 -0.5615044968
BLYP 250 -96.1 -0.5613456299
BLYP 250 -95.95 -0.5611870545
BLYP 250 -95.8 -0.5610287699
BLYP 250 -95.65 -0.5608707753
BLYP 250 -95.5 -0.56071307
BLYP 250 -95.35 -0.5605556533
BLYP 250 -95.2 -0.5603985243
BLYP 250 -95.05 -0.5602416824
BLYP 250 -94.9 -0.5600851268
BLYP 250 -94.75 -0.5599288568
BLYP 250 -94.6 -0.5597728716
BLYP 250 -94.45 -0.5596171705
BLYP 250 -94.3 -0.5594617528
BLYP 250 -94.15 -0.5593066178
BLYP 250 -94 -0.5591517646
BLYP 250 -93.85 -0.5589971927
BLYP 250 -93.7 -0.5588429013
BLYP 250 -93.55 -0.5586888896
BLYP 250 -93.4 -0.5585351569
BLYP 250 -93.25 -0.5583817026
BLYP 250 -93.1 -0.5582285259
BLYP 250 -92.95 -0.5580756261
BLYP 250 -92.8 -0.5579230025
BLYP 250 -92.65 -0.5577706544
BLYP 250 -92.5 -0.5576185811
BLYP 250 -92.35 -0.5574667819
BLYP 250 -92.2 -0.5573152561
BLYP 250 -92.05 -0.5571640029
BLYP 250 -91.9 -0.5570130218
BLYP 250 -91.75 -0.556862312
BLYP 250 -91.6 -0.5567118729
BLYP 250 -91.45 -0.5565617036
BLYP 250 -91.3 -0.5564118036
BLYP 250 -91.15 -0.5562621722
BLYP 250 -91 -0.5561128087
BLYP 250 -90.85 -0.5559637124
BLYP 250 -90.7 -0.5558148826
BLYP 250 -90.55 -0.5556663187
BLYP 250 -90.4 -0.5555180199
BLYP 250 -90.25 -0.5553699857
BLYP 250 -90.1 -0.5552222154
BLYP 250 -89.95 -0.5550747082
BLYP 250 -89.8 -0.5549274635
BLYP 250 -89.65 -0.5547804807
BLYP 250 -89.5 -0.5546337591
BLYP 250 -89.35 -0.5544872981
BLYP 250 -89.2 -0.5543410969
BLYP 250 -89.05 -0.554195155
BLYP 250 -88.9 -0.5540494716
BLYP 250 -88.75 -0.5539040462
BLYP 250 -88.6 -0.5537588781
BLYP 250 -88.45 -0.5536139666
BLYP 250 -88.3 -0.5534693111
BLYP 250 -88.15 -0.553324911
BLYP 250 -88 -0.5531807656
BLYP 250 -87.85 -0.5530368743
BLYP 250 -87.7 -0.5528932364
BLYP 250 -87.55 -0.5527498513
BLYP 250 -87.4 -0.5526067185
BLYP 250 -87.25 -0.5524638371
BLYP 250 -87.1 -0.5523212067
BLYP 250 -86.95 -0.5521788267
BLYP 250 -86.8 -0.5520366962
BLYP 250 -86.65 -0.5518948149
BLYP 250 -86.5 -0.551753182
BLYP 250 -86.35 -0.5516117969
BLYP 250 -86.2 -0.551470659
BLYP 250 -86.05 -0.5513297677
BLYP 250 -85.9 -0.5511891224
BLYP 250 -85.75 -0.5510487225
BLYP 250 -85.6 -0.5509085674
BLYP 250 -85.45 -0.5507686564
BLYP 250 -85.3 -0.5506289889
BLYP 250 -85.15 -0.5504895644
BLYP 250 -85 -0.5503503823
BLYP 250 -84.85 -0.5502114419
BLYP 250 -84.7 -0.5500727427
BLYP 250 -84.55 -0.549934284
BLYP 250 -84.4 -0.5497960653
BLYP 250 -84.25 -0.549658086
BLYP 250 -84.1 -0.5495203455
BLYP 250 -83.95 -0.5493828432
BLYP 250 -83.8 -0.5492455785
BLYP 250 -83.65 -0.5491085508
BLYP 250 -83.5 -0.5489717596
BLYP 250 -83.35 -0.5488352043
BLYP 250 -83.2 -0.5486988843
BLYP 250 -83.05 -0.5485627989
BLYP 250 -82.9 -0.5484269478
BLYP 250 -82.75 -0.5482913302
BLYP 250 -82.6 -0.5481559456
BLYP 250 -82.45 -0.5480207934
BLYP 250 -82.3 -0.5478858731
BLYP 250 -82.15 -0.5477511841
BLYP 250 -82 -0.5476167258
BLYP 250 -81.85 -0.5474824977
BLYP 250 -81.7 -0.5473484992
BLYP 250 -81.55 -0.5472147297
BLYP 250 -81.4 -0.5470811888
BLYP 250 -81.25 -0.5469478758
BLYP 250 -81.1 -0.5468147901
BLYP 250 -80.95 -0.5466819313
BLYP 250 -80.8 -0.5465492988
BLYP 250 -80.65 -0.546416892
BLYP 250 -80.5 -0.5462847104
BLYP 250 -80.35 -0.5461527535
BLYP 250 -80.2 -0.5460210206
BLYP 250 -80.05 -0.5458895113
BLYP 250 -79.9 -0.545758225
BLYP 250 -79.75 -0.5456271612
BLYP 250 -79.6 -0.5454963193
BLYP 250 -79.45 -0.5453656989
BLYP 250 -79.3 -0.5452352993
BLYP 250 -79.15 -0.54510512
BLYP 250 -79 -0.5449751605
BLYP 250 -78.85 -0.5448454203
BLYP 250 -78.7 -0.5447158989
BLYP 250 -78.55 -0.5445865957
BLYP 250 -78.4 -0.5444575102
BLYP 250 -78.25 -0.5443286418
BLYP 250 -78.1 -0.5441999902
BLYP 250 -77.95 -0.5440715546
BLYP 250 -77.8 -0.5439433347
BLYP 250 -77.65 -0.5438153299
BLYP 250 -77.5 -0.5436875396
BLYP 250 -77.35 -0.5435599635
BLYP 250 -77.2 -0.5434326009
BLYP 250 -77.05 -0.5433054513
BLYP 250 -76.9 -0.5431785143
BLYP 250 -76.75 -0.5430517893
BLYP 250 -76.6 -0.5429252759
BLYP 250 -76.45 -0.5427989735
BLYP 250 -76.3 -0.5426728816
BLYP 250 -76.15 -0.5425469997
BLYP 250 -76 -0.5424213274
BLYP 250 -75.85 -0.5422958641
BLYP 250 -75.7 -0.5421706093
BLYP 250 -75.55 -0.5420455626
