Functional Exponent Coefficient Energy
BLYP 300 -175 -0.6249161916
BLYP 300 -174.7 -0.6244308699
BLYP 300 -174.4 -0.6239474845
BLYP 300 -174.1 -0.6234660249
BLYP 300 -173.8 -0.6229864806
BLYP 300 -173.5 -0.6225088415
BLYP 300 -173.2 -0.622033097
BLYP 300 -172.9 -0.6215592371
BLYP 300 -172.6 -0.6210872515
BLYP 300 -172.3 -0.6206171302
BLYP 300 -172 -0.6201488631
BLYP 300 -171.7 -0.6196824403
BLYP 300 -171.4 -0.619217852
BLYP 300 -171.1 -0.6187550882
BLYP 300 -170.8 -0.6182941391
BLYP 300 -170.5 -0.6178349952
BLYP 300 -170.2 -0.6173776467
BLYP 300 -169.9 -0.6169220842
BLYP 300 -169.6 -0.6164682979
BLYP 300 -169.3 -0.6160162786
BLYP 300 -169 -0.6155660168
BLYP 300 -168.7 -0.6151175031
BLYP 300 -168.4 -0.6146707284
BLYP 300 -168.1 -0.6142256833
BLYP 300 -167.8 -0.6137823588
BLYP 300 -167.5 -0.6133407457
BLYP 300 -167.2 -0.6129008351
BLYP 300 -166.9 -0.6124626178
BLYP 300 -166.6 -0.612026085
BLYP 300 -166.3 -0.6115912279
BLYP 300 -166 -0.6111580376
BLYP 300 -165.7 -0.6107265054
BLYP 300 -165.4 -0.6102966226
BLYP 300 -165.1 -0.6098683805
BLYP 300 -164.8 -0.6094417706
BLYP 300 -164.5 -0.6090167842
BLYP 300 -164.2 -0.6085934131
BLYP 300 -163.9 -0.6081716486
BLYP 300 -163.6 -0.6077514825
BLYP 300 -163.3 -0.6073329064
BLYP 300 -163 -0.6069159122
BLYP 300 -162.7 -0.6065004914
BLYP 300 -162.4 -0.6060866361
BLYP 300 -162.1 -0.6056743381
BLYP 300 -161.8 -0.6052635893
BLYP 300 -161.5 -0.6048543818
BLYP 300 -161.2 -0.6044467075
BLYP 300 -160.9 -0.6040405586
BLYP 300 -160.6 -0.6036359272
BLYP 300 -160.3 -0.6032328055
BLYP 300 -160 -0.6028311858
