Functional Exponent Coefficient Energy
BLYP 0.002 -131.2 -131.2629486041
BLYP 0.002 -130.9 -130.9636720246
BLYP 0.002 -130.6 -130.6643960209
BLYP 0.002 -130.3 -130.3651205949
BLYP 0.002 -130 -130.0658457484
BLYP 0.002 -129.7 -129.7665714832
BLYP 0.002 -129.4 -129.4672978012
BLYP 0.002 -129.1 -129.1680247041
BLYP 0.002 -128.8 -128.8687521939
BLYP 0.002 -128.5 -128.5694802723
BLYP 0.002 -128.2 -128.2702089412
BLYP 0.002 -127.9 -127.9709382026
BLYP 0.002 -127.6 -127.6716680582
BLYP 0.002 -127.3 -127.37239851
BLYP 0.002 -127 -127.0731295599
BLYP 0.002 -126.7 -126.7738612097
BLYP 0.002 -126.4 -126.4745934614
BLYP 0.002 -126.1 -126.1753263169
BLYP 0.002 -125.8 -125.8760597782
BLYP 0.002 -125.5 -125.5767938471
BLYP 0.002 -125.2 -125.2775285258
BLYP 0.002 -124.9 -124.978263816
BLYP 0.002 -124.6 -124.6789997198
BLYP 0.002 -124.3 -124.3797362392
BLYP 0.002 -124 -124.0804733762
BLYP 0.002 -123.7 -123.7812111328
BLYP 0.002 -123.4 -123.4819495109
BLYP 0.002 -123.1 -123.1826885127
BLYP 0.002 -122.8 -122.8834281401
BLYP 0.002 -122.5 -122.5841683953
BLYP 0.002 -122.2 -122.2849092802
BLYP 0.002 -121.9 -121.9856507969
BLYP 0.002 -121.6 -121.6863929475
BLYP 0.002 -121.3 -121.3871357342
BLYP 0.002 -121 -121.0878791589
BLYP 0.002 -120.7 -120.7886232238
BLYP 0.002 -120.4 -120.4893679311
BLYP 0.002 -120.1 -120.1901132828
BLYP 0.002 -119.8 -119.8908592812
BLYP 0.002 -119.5 -119.5916059283
BLYP 0.002 -119.2 -119.2923532263
BLYP 0.002 -118.9 -118.9931011774
BLYP 0.002 -118.6 -118.6938497838
BLYP 0.002 -118.3 -118.3945990477
BLYP 0.002 -118 -118.0953489713
BLYP 0.002 -117.7 -117.7960995568
BLYP 0.002 -117.4 -117.4968508065
BLYP 0.002 -117.1 -117.1976027225
BLYP 0.002 -116.8 -116.8983553072
BLYP 0.002 -116.5 -116.5991085629
BLYP 0.002 -116.2 -116.2998624917
BLYP 0.002 -115.9 -116.0006170961
BLYP 0.002 -115.6 -115.7013723782
BLYP 0.002 -115.3 -115.4021283405
BLYP 0.002 -115 -115.1028849852
BLYP 0.002 -114.7 -114.8036423147
BLYP 0.002 -114.4 -114.5044003314
BLYP 0.002 -114.1 -114.2051590375
BLYP 0.002 -113.8 -113.9059184355
BLYP 0.002 -113.5 -113.6066785279
BLYP 0.002 -113.2 -113.3074393169
BLYP 0.002 -112.9 -113.008200805
BLYP 0.002 -112.6 -112.7089629946
BLYP 0.002 -112.3 -112.4097258882
BLYP 0.002 -112 -112.1104894882
BLYP 0.002 -111.7 -111.8112537971
BLYP 0.002 -111.4 -111.5120188174
BLYP 0.002 -111.1 -111.2127845516
BLYP 0.002 -110.8 -110.9135510021
BLYP 0.002 -110.5 -110.6143181715
BLYP 0.002 -110.2 -110.3150860624
BLYP 0.002 -109.9 -110.0158546772
BLYP 0.002 -109.6 -109.7166240186
BLYP 0.002 -109.3 -109.4173940891
BLYP 0.002 -109 -109.1181648914
BLYP 0.002 -108.7 -108.8189364279
BLYP 0.002 -108.4 -108.5197087014
BLYP 0.002 -108.1 -108.2204817144
BLYP 0.002 -107.8 -107.9212554697
BLYP 0.002 -107.5 -107.6220299698
BLYP 0.002 -107.2 -107.3228052175
BLYP 0.002 -106.9 -107.0235812154
BLYP 0.002 -106.6 -106.7243579662
BLYP 0.002 -106.3 -106.4251354728
BLYP 0.002 -106 -106.1259137377
BLYP 0.002 -105.7 -105.8266927637
BLYP 0.002 -105.4 -105.5274725537
BLYP 0.002 -105.1 -105.2282531104
BLYP 0.002 -104.8 -104.9290344366
BLYP 0.002 -104.5 -104.629816535
BLYP 0.002 -104.2 -104.3305994086
