Functional Exponent Coefficient Energy
BLYP 2.5 -100 -73.5088914103
BLYP 2.5 -99.85 -73.3837022322
BLYP 2.5 -99.7 -73.2585295207
BLYP 2.5 -99.55 -73.1333732962
BLYP 2.5 -99.4 -73.0082335795
BLYP 2.5 -99.25 -72.8831103912
BLYP 2.5 -99.1 -72.7580037522
BLYP 2.5 -98.95 -72.6329136832
BLYP 2.5 -98.8 -72.5078402053
BLYP 2.5 -98.65 -72.3827833394
BLYP 2.5 -98.5 -72.2577431067
BLYP 2.5 -98.35 -72.1327195282
BLYP 2.5 -98.2 -72.0077126253
BLYP 2.5 -98.05 -71.8827224192
BLYP 2.5 -97.9 -71.7577489314
BLYP 2.5 -97.75 -71.6327921834
BLYP 2.5 -97.6 -71.5078521966
BLYP 2.5 -97.45 -71.3829289929
BLYP 2.5 -97.3 -71.2580225938
BLYP 2.5 -97.15 -71.1331330212
BLYP 2.5 -97 -71.008260297
BLYP 2.5 -96.85 -70.8834044431
BLYP 2.5 -96.7 -70.7585654817
BLYP 2.5 -96.55 -70.6337434349
BLYP 2.5 -96.4 -70.5089383249
BLYP 2.5 -96.25 -70.3841501741
BLYP 2.5 -96.1 -70.2593790048
BLYP 2.5 -95.95 -70.1346248395
BLYP 2.5 -95.8 -70.0098877009
BLYP 2.5 -95.65 -69.8851676116
BLYP 2.5 -95.5 -69.7604645944
BLYP 2.5 -95.35 -69.6357786722
BLYP 2.5 -95.2 -69.5111098679
BLYP 2.5 -95.05 -69.3864582045
BLYP 2.5 -94.9 -69.2618237053
BLYP 2.5 -94.75 -69.1372063934
BLYP 2.5 -94.6 -69.0126062921
BLYP 2.5 -94.45 -68.888023425
BLYP 2.5 -94.3 -68.7634578155
BLYP 2.5 -94.15 -68.6389094873
BLYP 2.5 -94 -68.5143784641
BLYP 2.5 -93.85 -68.3898647697
BLYP 2.5 -93.7 -68.2653684281
BLYP 2.5 -93.55 -68.1408894633
BLYP 2.5 -93.4 -68.0164278993
BLYP 2.5 -93.25 -67.8919837606
BLYP 2.5 -93.1 -67.7675570713
BLYP 2.5 -92.95 -67.6431478559
BLYP 2.5 -92.8 -67.5187561391
BLYP 2.5 -92.65 -67.3943819454
BLYP 2.5 -92.5 -67.2700252997
BLYP 2.5 -92.35 -67.1456862268
BLYP 2.5 -92.2 -67.0213647517
