Functional Exponent Coefficient Energy
BLYP 10 -100 -48.9556079607
BLYP 10 -99.85 -48.8528537767
BLYP 10 -99.7 -48.7501392395
BLYP 10 -99.55 -48.6474644445
BLYP 10 -99.4 -48.5448294872
BLYP 10 -99.25 -48.4422344631
BLYP 10 -99.1 -48.3396794683
BLYP 10 -98.95 -48.2371645989
BLYP 10 -98.8 -48.1346899512
BLYP 10 -98.65 -48.0322556219
BLYP 10 -98.5 -47.9298617077
BLYP 10 -98.35 -47.8275083058
BLYP 10 -98.2 -47.7251955133
BLYP 10 -98.05 -47.6229234277
BLYP 10 -97.9 -47.5206921469
BLYP 10 -97.75 -47.4185017686
BLYP 10 -97.6 -47.3163523912
BLYP 10 -97.45 -47.2142441129
BLYP 10 -97.3 -47.1121770325
BLYP 10 -97.15 -47.0101512488
BLYP 10 -97 -46.9081668608
BLYP 10 -96.85 -46.8062239679
BLYP 10 -96.7 -46.7043226697
BLYP 10 -96.55 -46.6024630658
BLYP 10 -96.4 -46.5006452564
BLYP 10 -96.25 -46.3988693416
BLYP 10 -96.1 -46.297135422
BLYP 10 -95.95 -46.1954435982
BLYP 10 -95.8 -46.0937939712
BLYP 10 -95.65 -45.992186642
BLYP 10 -95.5 -45.8906217123
BLYP 10 -95.35 -45.7890992835
BLYP 10 -95.2 -45.6876194575
BLYP 10 -95.05 -45.5861823365
BLYP 10 -94.9 -45.4847880228
BLYP 10 -94.75 -45.383436619
BLYP 10 -94.6 -45.2821282278
BLYP 10 -94.45 -45.1808629524
BLYP 10 -94.3 -45.0796408961
BLYP 10 -94.15 -44.9784621623
BLYP 10 -94 -44.8773268548
BLYP 10 -93.85 -44.7762350776
BLYP 10 -93.7 -44.6751869351
BLYP 10 -93.55 -44.5741825316
BLYP 10 -93.4 -44.4732219719
BLYP 10 -93.25 -44.372305361
BLYP 10 -93.1 -44.2714328041
BLYP 10 -92.95 -44.1706044066
BLYP 10 -92.8 -44.0698202743
BLYP 10 -92.65 -43.969080513
BLYP 10 -92.5 -43.868385229
BLYP 10 -92.35 -43.7677345287
BLYP 10 -92.2 -43.6671285188
BLYP 10 -92.05 -43.5665673062
BLYP 10 -91.9 -43.4660509981
BLYP 10 -91.75 -43.3655797019
BLYP 10 -91.6 -43.2651535252
BLYP 10 -91.45 -43.164772576
BLYP 10 -91.3 -43.0644369624
BLYP 10 -91.15 -42.964146793
BLYP 10 -91 -42.8639021762
BLYP 10 -90.85 -42.7637032211
BLYP 10 -90.7 -42.6635500368
BLYP 10 -90.55 -42.5634427328
BLYP 10 -90.4 -42.4633814187
BLYP 10 -90.25 -42.3633662044
BLYP 10 -90.1 -42.2633972002
BLYP 10 -89.95 -42.1634745164
BLYP 10 -89.8 -42.0635982639
BLYP 10 -89.65 -41.9637685534
BLYP 10 -89.5 -41.8639854964
BLYP 10 -89.35 -41.7642492042
BLYP 10 -89.2 -41.6645597885
BLYP 10 -89.05 -41.5649173614
BLYP 10 -88.9 -41.4653220351
BLYP 10 -88.75 -41.3657739222
BLYP 10 -88.6 -41.2662731353
BLYP 10 -88.45 -41.1668197877
BLYP 10 -88.3 -41.0674139925
BLYP 10 -88.15 -40.9680558633
