Functional Exponent Coefficient Energy
BLYP 0.05 -100 -97.4487964525
BLYP 0.05 -99.85 -97.3016072026
BLYP 0.05 -99.7 -97.1544195684
BLYP 0.05 -99.55 -97.0072335537
BLYP 0.05 -99.4 -96.8600491626
BLYP 0.05 -99.25 -96.7128663989
BLYP 0.05 -99.1 -96.5656852667
BLYP 0.05 -98.95 -96.4185057699
BLYP 0.05 -98.8 -96.2713279126
BLYP 0.05 -98.65 -96.1241516989
BLYP 0.05 -98.5 -95.9769771327
BLYP 0.05 -98.35 -95.8298042181
BLYP 0.05 -98.2 -95.6826329592
BLYP 0.05 -98.05 -95.5354633602
BLYP 0.05 -97.9 -95.3882954252
BLYP 0.05 -97.75 -95.2411291583
BLYP 0.05 -97.6 -95.0939645636
BLYP 0.05 -97.45 -94.9468016455
BLYP 0.05 -97.3 -94.799640408
BLYP 0.05 -97.15 -94.6524808554
BLYP 0.05 -97 -94.5053229919
BLYP 0.05 -96.85 -94.3581668219
BLYP 0.05 -96.7 -94.2110123496
BLYP 0.05 -96.55 -94.0638595792
BLYP 0.05 -96.4 -93.9167085152
BLYP 0.05 -96.25 -93.7695591618
BLYP 0.05 -96.1 -93.6224115235
BLYP 0.05 -95.95 -93.4752656046
BLYP 0.05 -95.8 -93.3281214095
BLYP 0.05 -95.65 -93.1809789426
BLYP 0.05 -95.5 -93.0338382085
BLYP 0.05 -95.35 -92.8866992115
BLYP 0.05 -95.2 -92.7395619561
BLYP 0.05 -95.05 -92.592426447
BLYP 0.05 -94.9 -92.4452926885
BLYP 0.05 -94.75 -92.2981606852
BLYP 0.05 -94.6 -92.1510304418
BLYP 0.05 -94.45 -92.0039019628
BLYP 0.05 -94.3 -91.8567752528
BLYP 0.05 -94.15 -91.7096503165
BLYP 0.05 -94 -91.5625271585
BLYP 0.05 -93.85 -91.4154057836
BLYP 0.05 -93.7 -91.2682861963
BLYP 0.05 -93.55 -91.1211684015
BLYP 0.05 -93.4 -90.9740524039
BLYP 0.05 -93.25 -90.8269382083
BLYP 0.05 -93.1 -90.6798258194
BLYP 0.05 -92.95 -90.5327152421
BLYP 0.05 -92.8 -90.3856064812
BLYP 0.05 -92.65 -90.2384995417
BLYP 0.05 -92.5 -90.0913944283
BLYP 0.05 -92.35 -89.944291146
BLYP 0.05 -92.2 -89.7971896997
BLYP 0.05 -92.05 -89.6500900944
BLYP 0.05 -91.9 -89.502992335
BLYP 0.05 -91.75 -89.3558964266
BLYP 0.05 -91.6 -89.2088023743
BLYP 0.05 -91.45 -89.0617101829
BLYP 0.05 -91.3 -88.9146198577
BLYP 0.05 -91.15 -88.7675314038
BLYP 0.05 -91 -88.6204448262
BLYP 0.05 -90.85 -88.4733601301
BLYP 0.05 -90.7 -88.3262773208
BLYP 0.05 -90.55 -88.1791964033
BLYP 0.05 -90.4 -88.0321173829
BLYP 0.05 -90.25 -87.885040265
BLYP 0.05 -90.1 -87.7379650547
BLYP 0.05 -89.95 -87.5908917573
BLYP 0.05 -89.8 -87.4438203783
BLYP 0.05 -89.65 -87.2967509229
BLYP 0.05 -89.5 -87.1496833966
BLYP 0.05 -89.35 -87.0026178047
BLYP 0.05 -89.2 -86.8555541526
BLYP 0.05 -89.05 -86.708492446
BLYP 0.05 -88.9 -86.5614326901
BLYP 0.05 -88.75 -86.4143748906
BLYP 0.05 -88.6 -86.267319053
BLYP 0.05 -88.45 -86.1202651829
BLYP 0.05 -88.3 -85.9732132859
BLYP 0.05 -88.15 -85.8261633675
BLYP 0.05 -88 -85.6791154335
BLYP 0.05 -87.85 -85.5320694895
BLYP 0.05 -87.7 -85.3850255412
BLYP 0.05 -87.55 -85.2379835944
BLYP 0.05 -87.4 -85.0909436549
BLYP 0.05 -87.25 -84.9439057283
BLYP 0.05 -87.1 -84.7968698207
BLYP 0.05 -86.95 -84.6498359377
BLYP 0.05 -86.8 -84.5028040854
BLYP 0.05 -86.65 -84.3557742696
BLYP 0.05 -86.5 -84.2087464962
BLYP 0.05 -86.35 -84.0617207712
BLYP 0.05 -86.2 -83.9146971006
BLYP 0.05 -86.05 -83.7676754905
BLYP 0.05 -85.9 -83.6206559469
BLYP 0.05 -85.75 -83.473638476
BLYP 0.05 -85.6 -83.3266230837
BLYP 0.05 -85.45 -83.1796097763
BLYP 0.05 -85.3 -83.03259856
BLYP 0.05 -85.15 -82.8855894409
BLYP 0.05 -85 -82.7385824254
BLYP 0.05 -84.85 -82.5915775196
BLYP 0.05 -84.7 -82.44457473
BLYP 0.05 -84.55 -82.2975740628
BLYP 0.05 -84.4 -82.1505755244
BLYP 0.05 -84.25 -82.0035791213
BLYP 0.05 -84.1 -81.8565848598
BLYP 0.05 -83.95 -81.7095927465
BLYP 0.05 -83.8 -81.5626027878
BLYP 0.05 -83.65 -81.4156149903
BLYP 0.05 -83.5 -81.2686293605
BLYP 0.05 -83.35 -81.1216459051
BLYP 0.05 -83.2 -80.9746646306
BLYP 0.05 -83.05 -80.8276855438
BLYP 0.05 -82.9 -80.6807086514
BLYP 0.05 -82.75 -80.5337339601
BLYP 0.05 -82.6 -80.3867614767
BLYP 0.05 -82.45 -80.2397912079
BLYP 0.05 -82.3 -80.0928231607
BLYP 0.05 -82.15 -79.9458573419
BLYP 0.05 -82 -79.7988937584
BLYP 0.05 -81.85 -79.6519324172
BLYP 0.05 -81.7 -79.5049733253
BLYP 0.05 -81.55 -79.3580164896
BLYP 0.05 -81.4 -79.2110619173
BLYP 0.05 -81.25 -79.0641096154
BLYP 0.05 -81.1 -78.9171595911
BLYP 0.05 -80.95 -78.7702118515
BLYP 0.05 -80.8 -78.6232664039
BLYP 0.05 -80.65 -78.4763232554
BLYP 0.05 -80.5 -78.3293824134
BLYP 0.05 -80.35 -78.1824438852
BLYP 0.05 -80.2 -78.0355076782
BLYP 0.05 -80.05 -77.8885737997
BLYP 0.05 -79.9 -77.7416422571
BLYP 0.05 -79.75 -77.594713058
BLYP 0.05 -79.6 -77.4477862099
BLYP 0.05 -79.45 -77.3008617202
BLYP 0.05 -79.3 -77.1539395967
BLYP 0.05 -79.15 -77.0070198469
BLYP 0.05 -79 -76.8601024785
BLYP 0.05 -78.85 -76.7131874992
BLYP 0.05 -78.7 -76.5662749167
BLYP 0.05 -78.55 -76.4193647389
BLYP 0.05 -78.4 -76.2724569736
BLYP 0.05 -78.25 -76.1255516287
BLYP 0.05 -78.1 -75.9786487121
BLYP 0.05 -77.95 -75.8317482316
BLYP 0.05 -77.8 -75.6848501955
BLYP 0.05 -77.65 -75.5379546116
BLYP 0.05 -77.5 -75.391061488
BLYP 0.05 -77.35 -75.244170833
BLYP 0.05 -77.2 -75.0972826546
