Functional Exponent Coefficient Energy
BLYP 150 -175 -2.420476604
BLYP 150 -174.7 -2.4045604643
BLYP 150 -174.4 -2.3887574826
BLYP 150 -174.1 -2.3730672347
BLYP 150 -173.8 -2.3574892926
BLYP 150 -173.5 -2.3420232271
BLYP 150 -173.2 -2.3266686059
BLYP 150 -172.9 -2.3114249941
BLYP 150 -172.6 -2.2962919538
BLYP 150 -172.3 -2.2812690446
BLYP 150 -172 -2.2663558229
BLYP 150 -171.7 -2.2515518427
BLYP 150 -171.4 -2.2368566552
BLYP 150 -171.1 -2.2222698089
BLYP 150 -170.8 -2.2077908497
BLYP 150 -170.5 -2.193419321
BLYP 150 -170.2 -2.1791547634
BLYP 150 -169.9 -2.1649967153
BLYP 150 -169.6 -2.1509447123
BLYP 150 -169.3 -2.1369982878
BLYP 150 -169 -2.1231569728
BLYP 150 -168.7 -2.1094202957
BLYP 150 -168.4 -2.0957877829
BLYP 150 -168.1 -2.0822589582
BLYP 150 -167.8 -2.0688333433
BLYP 150 -167.5 -2.0555104579
BLYP 150 -167.2 -2.0422898193
BLYP 150 -166.9 -2.0291709428
BLYP 150 -166.6 -2.0161533416
BLYP 150 -166.3 -2.0032365302
BLYP 150 -166 -1.9904200158
BLYP 150 -165.7 -1.9777033047
BLYP 150 -165.4 -1.9650859021
BLYP 150 -165.1 -1.9525673116
BLYP 150 -164.8 -1.9401470356
BLYP 150 -164.5 -1.927824575
BLYP 150 -164.2 -1.9155994263
BLYP 150 -163.9 -1.9034710863
BLYP 150 -163.6 -1.8914390501
BLYP 150 -163.3 -1.8795028113
BLYP 150 -163 -1.8676618618
BLYP 150 -162.7 -1.8559156922
BLYP 150 -162.4 -1.8442637917
BLYP 150 -162.1 -1.8327056481
BLYP 150 -161.8 -1.8212407479
BLYP 150 -161.5 -1.8098685764
BLYP 150 -161.2 -1.7985886177
BLYP 150 -160.9 -1.7874003547
BLYP 150 -160.6 -1.7763032693
BLYP 150 -160.3 -1.7652968423
BLYP 150 -160 -1.7543805535
BLYP 150 -159.7 -1.7435538831
BLYP 150 -159.4 -1.73281631
BLYP 150 -159.1 -1.7221673096
BLYP 150 -158.8 -1.7116063582
BLYP 150 -158.5 -1.7011329314
BLYP 150 -158.2 -1.6907465042
BLYP 150 -157.9 -1.6804465511
BLYP 150 -157.6 -1.6702325459
BLYP 150 -157.3 -1.6601039619
BLYP 150 -157 -1.6500602719
BLYP 150 -156.7 -1.6401009492
BLYP 150 -156.4 -1.6302254653
BLYP 150 -156.1 -1.6204332919
BLYP 150 -155.8 -1.6107239006
BLYP 150 -155.5 -1.6010967627
BLYP 150 -155.2 -1.5915513497
BLYP 150 -154.9 -1.5820871327
BLYP 150 -154.6 -1.5727035843
BLYP 150 -154.3 -1.5634001749
BLYP 150 -154 -1.5541763754
BLYP 150 -153.7 -1.5450316571
BLYP 150 -153.4 -1.5359654918
BLYP 150 -153.1 -1.5269773513
BLYP 150 -152.8 -1.5180667076
BLYP 150 -152.5 -1.5092330333
BLYP 150 -152.2 -1.5004758012
BLYP 150 -151.9 -1.4917944849
BLYP 150 -151.6 -1.4831885581
BLYP 150 -151.3 -1.4746574956
BLYP 150 -151 -1.4662007719
BLYP 150 -150.7 -1.4578178626
BLYP 150 -150.4 -1.449508244
BLYP 150 -150.1 -1.4412713932
BLYP 150 -149.8 -1.433106788
BLYP 150 -149.5 -1.4250139074
BLYP 150 -149.2 -1.4169922307
BLYP 150 -148.9 -1.4090412385
BLYP 150 -148.6 -1.4011604124
BLYP 150 -148.3 -1.3933492348
BLYP 150 -148 -1.3856071895
BLYP 150 -147.7 -1.3779337611
BLYP 150 -147.4 -1.3703284357
BLYP 150 -147.1 -1.3627907004
BLYP 150 -146.8 -1.3553200436
BLYP 150 -146.5 -1.347915955
BLYP 150 -146.2 -1.3405779257
BLYP 150 -145.9 -1.3333054482
BLYP 150 -145.6 -1.3260980163
BLYP 150 -145.3 -1.3189551254
