Functional Exponent Coefficient Energy
BLYP 0.001 -175 -175.1751480861
BLYP 0.001 -174.7 -174.8755641036
BLYP 0.001 -174.4 -174.5759803632
BLYP 0.001 -174.1 -174.2763968654
BLYP 0.001 -173.8 -173.9768136106
BLYP 0.001 -173.5 -173.6772305994
BLYP 0.001 -173.2 -173.3776478323
BLYP 0.001 -172.9 -173.0780653097
BLYP 0.001 -172.6 -172.7784830321
BLYP 0.001 -172.3 -172.4789010002
BLYP 0.001 -172 -172.1793192143
BLYP 0.001 -171.7 -171.879737675
BLYP 0.001 -171.4 -171.5801563828
BLYP 0.001 -171.1 -171.2805753382
BLYP 0.001 -170.8 -170.9809945417
BLYP 0.001 -170.5 -170.6814139939
BLYP 0.001 -170.2 -170.3818336952
BLYP 0.001 -169.9 -170.0822536462
BLYP 0.001 -169.6 -169.7826738473
BLYP 0.001 -169.3 -169.4830942992
BLYP 0.001 -169 -169.1835150023
BLYP 0.001 -168.7 -168.8839359572
BLYP 0.001 -168.4 -168.5843571643
BLYP 0.001 -168.1 -168.2847786243
BLYP 0.001 -167.8 -167.9852003375
BLYP 0.001 -167.5 -167.6856223047
BLYP 0.001 -167.2 -167.3860445262
BLYP 0.001 -166.9 -167.0864670027
BLYP 0.001 -166.6 -166.7868897347
BLYP 0.001 -166.3 -166.4873127227
BLYP 0.001 -166 -166.1877359672
BLYP 0.001 -165.7 -165.8881594688
BLYP 0.001 -165.4 -165.588583228
BLYP 0.001 -165.1 -165.2890072454
BLYP 0.001 -164.8 -164.9894315216
BLYP 0.001 -164.5 -164.689856057
BLYP 0.001 -164.2 -164.3902808522
BLYP 0.001 -163.9 -164.0907059078
BLYP 0.001 -163.6 -163.7911312243
BLYP 0.001 -163.3 -163.4915568023
BLYP 0.001 -163 -163.1919826423
BLYP 0.001 -162.7 -162.8924087449
BLYP 0.001 -162.4 -162.5928351107
BLYP 0.001 -162.1 -162.2932617402
BLYP 0.001 -161.8 -161.993688634
BLYP 0.001 -161.5 -161.6941157926
BLYP 0.001 -161.2 -161.3945432166
BLYP 0.001 -160.9 -161.0949709066
BLYP 0.001 -160.6 -160.7953988632
BLYP 0.001 -160.3 -160.4958270869
BLYP 0.001 -160 -160.1962555783
BLYP 0.001 -159.7 -159.896684338
BLYP 0.001 -159.4 -159.5971133665
BLYP 0.001 -159.1 -159.2975426645
BLYP 0.001 -158.8 -158.9979722325
BLYP 0.001 -158.5 -158.6984020711
BLYP 0.001 -158.2 -158.3988321809
BLYP 0.001 -157.9 -158.0992625624
BLYP 0.001 -157.6 -157.7996932164
BLYP 0.001 -157.3 -157.5001241433
BLYP 0.001 -157 -157.2005553437
BLYP 0.001 -156.7 -156.9009868183
BLYP 0.001 -156.4 -156.6014185677
BLYP 0.001 -156.1 -156.3018505924
BLYP 0.001 -155.8 -156.0022828931
BLYP 0.001 -155.5 -155.7027154703
BLYP 0.001 -155.2 -155.4031483247
BLYP 0.001 -154.9 -155.1035814569
BLYP 0.001 -154.6 -154.8040148674
BLYP 0.001 -154.3 -154.504448557
BLYP 0.001 -154 -154.2048825262
BLYP 0.001 -153.7 -153.9053167756
BLYP 0.001 -153.4 -153.6057513058
BLYP 0.001 -153.1 -153.3061861176
BLYP 0.001 -152.8 -153.0066212115
BLYP 0.001 -152.5 -152.7070565881
BLYP 0.001 -152.2 -152.4074922481
BLYP 0.001 -151.9 -152.1079281929
BLYP 0.001 -151.6 -151.8083644251
BLYP 0.001 -151.3 -151.5088009426
BLYP 0.001 -151 -151.2092377461
BLYP 0.001 -150.7 -150.9096748361
BLYP 0.001 -150.4 -150.6101122134
BLYP 0.001 -150.1 -150.3105498785
BLYP 0.001 -149.8 -150.0109878321
BLYP 0.001 -149.5 -149.7114260749
BLYP 0.001 -149.2 -149.4118646074
BLYP 0.001 -148.9 -149.1123034303
BLYP 0.001 -148.6 -148.8127425443
BLYP 0.001 -148.3 -148.51318195
BLYP 0.001 -148 -148.2136216482
BLYP 0.001 -147.7 -147.9140616393
BLYP 0.001 -147.4 -147.6145019242
BLYP 0.001 -147.1 -147.3149425034
BLYP 0.001 -146.8 -147.0153833776
BLYP 0.001 -146.5 -146.7158245476
BLYP 0.001 -146.2 -146.4162660139
BLYP 0.001 -145.9 -146.1167077772
BLYP 0.001 -145.6 -145.8171498382
BLYP 0.001 -145.3 -145.5175921977
BLYP 0.001 -145 -145.2180348562
BLYP 0.001 -144.7 -144.9184778144
BLYP 0.001 -144.4 -144.6189210731
BLYP 0.001 -144.1 -144.3193646329
BLYP 0.001 -143.8 -144.0198084945
BLYP 0.001 -143.5 -143.7202526586
BLYP 0.001 -143.2 -143.420697126
BLYP 0.001 -142.9 -143.1211418971
BLYP 0.001 -142.6 -142.8215869729
BLYP 0.001 -142.3 -142.522032354
BLYP 0.001 -142 -142.2224780411
BLYP 0.001 -141.7 -141.9229240348
BLYP 0.001 -141.4 -141.623370336
BLYP 0.001 -141.1 -141.3238169453
BLYP 0.001 -140.8 -141.0242638635
BLYP 0.001 -140.5 -140.7247110911
BLYP 0.001 -140.2 -140.4251586291
BLYP 0.001 -139.9 -140.125606478
BLYP 0.001 -139.6 -139.8260546387
BLYP 0.001 -139.3 -139.5265031118
BLYP 0.001 -139 -139.2269518981
BLYP 0.001 -138.7 -138.9274009982
BLYP 0.001 -138.4 -138.627850413
BLYP 0.001 -138.1 -138.3283001432
BLYP 0.001 -137.8 -138.0287501895
BLYP 0.001 -137.5 -137.7292005527
BLYP 0.001 -137.2 -137.4296512334
BLYP 0.001 -136.9 -137.1301022325
BLYP 0.001 -136.6 -136.8305535507
BLYP 0.001 -136.3 -136.5310051888
BLYP 0.001 -136 -136.2314571475
BLYP 0.001 -135.7 -135.9319094275
BLYP 0.001 -135.4 -135.6323620297
BLYP 0.001 -135.1 -135.3328149548
BLYP 0.001 -134.8 -135.0332682035
BLYP 0.001 -134.5 -134.7337217767
BLYP 0.001 -134.2 -134.434175675
BLYP 0.001 -133.9 -134.1346298994
BLYP 0.001 -133.6 -133.8350844505
BLYP 0.001 -133.3 -133.5355393292
BLYP 0.001 -133 -133.2359945362
BLYP 0.001 -132.7 -132.9364500723
BLYP 0.001 -132.4 -132.6369059384
BLYP 0.001 -132.1 -132.3373621351
BLYP 0.001 -131.8 -132.0378186633
BLYP 0.001 -131.5 -131.7382755239
BLYP 0.001 -131.2 -131.4387327176
BLYP 0.001 -130.9 -131.1391902452
BLYP 0.001 -130.6 -130.8396481075
BLYP 0.001 -130.3 -130.5401063053
BLYP 0.001 -130 -130.2405648396
BLYP 0.001 -129.7 -129.941023711
BLYP 0.001 -129.4 -129.6414829205
