Functional Exponent Coefficient Energy
BLYP 500 -100 -0.5164948691
BLYP 500 -99.85 -0.5164603608
BLYP 500 -99.7 -0.5164258767
BLYP 500 -99.55 -0.5163914168
BLYP 500 -99.4 -0.516356981
BLYP 500 -99.25 -0.5163225694
BLYP 500 -99.1 -0.5162881818
BLYP 500 -98.95 -0.5162538184
BLYP 500 -98.8 -0.5162194789
BLYP 500 -98.65 -0.5161851635
BLYP 500 -98.5 -0.5161508721
BLYP 500 -98.35 -0.5161166047
BLYP 500 -98.2 -0.5160823612
BLYP 500 -98.05 -0.5160481417
BLYP 500 -97.9 -0.516013946
BLYP 500 -97.75 -0.5159797742
BLYP 500 -97.6 -0.5159456263
BLYP 500 -97.45 -0.5159115022
BLYP 500 -97.3 -0.5158774019
BLYP 500 -97.15 -0.5158433254
BLYP 500 -97 -0.5158092726
BLYP 500 -96.85 -0.5157752436
BLYP 500 -96.7 -0.5157412382
BLYP 500 -96.55 -0.5157072566
BLYP 500 -96.4 -0.5156732986
BLYP 500 -96.25 -0.5156393642
BLYP 500 -96.1 -0.5156054535
BLYP 500 -95.95 -0.5155715663
BLYP 500 -95.8 -0.5155377027
BLYP 500 -95.65 -0.5155038626
BLYP 500 -95.5 -0.5154700461
BLYP 500 -95.35 -0.515436253
BLYP 500 -95.2 -0.5154024834
BLYP 500 -95.05 -0.5153687373
BLYP 500 -94.9 -0.5153350145
BLYP 500 -94.75 -0.5153013152
BLYP 500 -94.6 -0.5152676392
BLYP 500 -94.45 -0.5152339865
BLYP 500 -94.3 -0.5152003572
BLYP 500 -94.15 -0.5151667512
BLYP 500 -94 -0.5151331685
BLYP 500 -93.85 -0.515099609
BLYP 500 -93.7 -0.5150660727
BLYP 500 -93.55 -0.5150325597
BLYP 500 -93.4 -0.5149990698
BLYP 500 -93.25 -0.514965603
BLYP 500 -93.1 -0.5149321595
BLYP 500 -92.95 -0.514898739
BLYP 500 -92.8 -0.5148653416
BLYP 500 -92.65 -0.5148319672
BLYP 500 -92.5 -0.5147986159
BLYP 500 -92.35 -0.5147652877
BLYP 500 -92.2 -0.5147319824
BLYP 500 -92.05 -0.5146987001
BLYP 500 -91.9 -0.5146654407
BLYP 500 -91.75 -0.5146322042
BLYP 500 -91.6 -0.5145989907
BLYP 500 -91.45 -0.5145658
BLYP 500 -91.3 -0.5145326322
BLYP 500 -91.15 -0.5144994872
BLYP 500 -91 -0.514466365
BLYP 500 -90.85 -0.5144332656
BLYP 500 -90.7 -0.514400189
BLYP 500 -90.55 -0.5143671351
BLYP 500 -90.4 -0.5143341039
BLYP 500 -90.25 -0.5143010954
BLYP 500 -90.1 -0.5142681096
BLYP 500 -89.95 -0.5142351464
BLYP 500 -89.8 -0.5142022059
BLYP 500 -89.65 -0.5141692879
BLYP 500 -89.5 -0.5141363926
BLYP 500 -89.35 -0.5141035198
BLYP 500 -89.2 -0.5140706695
BLYP 500 -89.05 -0.5140378417
BLYP 500 -88.9 -0.5140050364
BLYP 500 -88.75 -0.5139722536
BLYP 500 -88.6 -0.5139394932
BLYP 500 -88.45 -0.5139067553
BLYP 500 -88.3 -0.5138740397
BLYP 500 -88.15 -0.5138413465
BLYP 500 -88 -0.5138086757
BLYP 500 -87.85 -0.5137760272
BLYP 500 -87.7 -0.513743401
BLYP 500 -87.55 -0.5137107971
BLYP 500 -87.4 -0.5136782154
BLYP 500 -87.25 -0.513645656
BLYP 500 -87.1 -0.5136131188
BLYP 500 -86.95 -0.5135806038
BLYP 500 -86.8 -0.513548111
BLYP 500 -86.65 -0.5135156403
BLYP 500 -86.5 -0.5134831918
BLYP 500 -86.35 -0.5134507653
BLYP 500 -86.2 -0.513418361
BLYP 500 -86.05 -0.5133859787
BLYP 500 -85.9 -0.5133536184
BLYP 500 -85.75 -0.5133212802
BLYP 500 -85.6 -0.513288964
BLYP 500 -85.45 -0.5132566697
BLYP 500 -85.3 -0.5132243974
BLYP 500 -85.15 -0.513192147
BLYP 500 -85 -0.5131599186
BLYP 500 -84.85 -0.513127712
BLYP 500 -84.7 -0.5130955273
BLYP 500 -84.55 -0.5130633644
BLYP 500 -84.4 -0.5130312234
BLYP 500 -84.25 -0.5129991041
BLYP 500 -84.1 -0.5129670067
BLYP 500 -83.95 -0.512934931
BLYP 500 -83.8 -0.512902877
BLYP 500 -83.65 -0.5128708447
BLYP 500 -83.5 -0.5128388341
BLYP 500 -83.35 -0.5128068452
BLYP 500 -83.2 -0.512774878
BLYP 500 -83.05 -0.5127429324
BLYP 500 -82.9 -0.5127110083
