Functional Exponent Coefficient Energy
BLYP 5 -100 -62.5550113293
BLYP 5 -99.85 -62.4393333681
BLYP 5 -99.7 -62.3236844336
BLYP 5 -99.55 -62.2080645741
BLYP 5 -99.4 -62.0924738381
BLYP 5 -99.25 -61.9769122739
BLYP 5 -99.1 -61.8613799301
BLYP 5 -98.95 -61.7458768554
BLYP 5 -98.8 -61.6304030984
BLYP 5 -98.65 -61.5149587079
BLYP 5 -98.5 -61.3995437328
BLYP 5 -98.35 -61.284158222
BLYP 5 -98.2 -61.1688022245
BLYP 5 -98.05 -61.0534757895
BLYP 5 -97.9 -60.9381789661
BLYP 5 -97.75 -60.8229118037
BLYP 5 -97.6 -60.7076743515
BLYP 5 -97.45 -60.5924666589
BLYP 5 -97.3 -60.4772887756
BLYP 5 -97.15 -60.3621407511
BLYP 5 -97 -60.2470226351
BLYP 5 -96.85 -60.1319344773
BLYP 5 -96.7 -60.0168763277
BLYP 5 -96.55 -59.9018482361
BLYP 5 -96.4 -59.7868502526
BLYP 5 -96.25 -59.6718824274
BLYP 5 -96.1 -59.5569448105
BLYP 5 -95.95 -59.4420374523
BLYP 5 -95.8 -59.3271604032
BLYP 5 -95.65 -59.2123137136
BLYP 5 -95.5 -59.0974974342
BLYP 5 -95.35 -58.9827116154
BLYP 5 -95.2 -58.8679563082
BLYP 5 -95.05 -58.7532315632
BLYP 5 -94.9 -58.6385374315
BLYP 5 -94.75 -58.523873964
BLYP 5 -94.6 -58.4092412118
BLYP 5 -94.45 -58.2946392262
BLYP 5 -94.3 -58.1800680584
BLYP 5 -94.15 -58.0655277598
BLYP 5 -94 -57.9510183819
BLYP 5 -93.85 -57.8365399762
BLYP 5 -93.7 -57.7220925945
BLYP 5 -93.55 -57.6076762885
BLYP 5 -93.4 -57.49329111
BLYP 5 -93.25 -57.3789371111
BLYP 5 -93.1 -57.2646143438
BLYP 5 -92.95 -57.1503228603
BLYP 5 -92.8 -57.0360627127
BLYP 5 -92.65 -56.9218339536
BLYP 5 -92.5 -56.8076366353
BLYP 5 -92.35 -56.6934708105
BLYP 5 -92.2 -56.5793365318
BLYP 5 -92.05 -56.465233852
BLYP 5 -91.9 -56.351162824
BLYP 5 -91.75 -56.2371235007
BLYP 5 -91.6 -56.1231159353
BLYP 5 -91.45 -56.0091401811
BLYP 5 -91.3 -55.8951962912
BLYP 5 -91.15 -55.7812843192
BLYP 5 -91 -55.6674043186
BLYP 5 -90.85 -55.553556343
BLYP 5 -90.7 -55.4397404463
BLYP 5 -90.55 -55.3259566823
BLYP 5 -90.4 -55.212205105
BLYP 5 -90.25 -55.0984857685
BLYP 5 -90.1 -54.9847987272
BLYP 5 -89.95 -54.8711440354
BLYP 5 -89.8 -54.7575217475
BLYP 5 -89.65 -54.6439319183
BLYP 5 -89.5 -54.5303746025
BLYP 5 -89.35 -54.416849855
BLYP 5 -89.2 -54.3033577308
BLYP 5 -89.05 -54.1898982851
BLYP 5 -88.9 -54.0764715734
BLYP 5 -88.75 -53.963077651
BLYP 5 -88.6 -53.8497165737
