Functional Exponent Coefficient Energy
BLYP 0.02 -175 -173.0314188745
BLYP 0.02 -174.7 -172.734014601
BLYP 0.02 -174.4 -172.4366121983
BLYP 0.02 -174.1 -172.1392116719
BLYP 0.02 -173.8 -171.8418130274
BLYP 0.02 -173.5 -171.5444162703
BLYP 0.02 -173.2 -171.2470214064
BLYP 0.02 -172.9 -170.9496284413
BLYP 0.02 -172.6 -170.6522373806
BLYP 0.02 -172.3 -170.3548482301
BLYP 0.02 -172 -170.0574609954
BLYP 0.02 -171.7 -169.7600756824
BLYP 0.02 -171.4 -169.4626922969
BLYP 0.02 -171.1 -169.1653108445
BLYP 0.02 -170.8 -168.8679313313
BLYP 0.02 -170.5 -168.5705537629
BLYP 0.02 -170.2 -168.2731781455
BLYP 0.02 -169.9 -167.9758044847
BLYP 0.02 -169.6 -167.6784327867
BLYP 0.02 -169.3 -167.3810630573
BLYP 0.02 -169 -167.0836953027
BLYP 0.02 -168.7 -166.7863295287
BLYP 0.02 -168.4 -166.4889657415
BLYP 0.02 -168.1 -166.1916039472
BLYP 0.02 -167.8 -165.8942441518
BLYP 0.02 -167.5 -165.5968863616
BLYP 0.02 -167.2 -165.2995305826
BLYP 0.02 -166.9 -165.0021768211
BLYP 0.02 -166.6 -164.7048250834
BLYP 0.02 -166.3 -164.4074753756
BLYP 0.02 -166 -164.1101277041
BLYP 0.02 -165.7 -163.8127820752
BLYP 0.02 -165.4 -163.5154384952
BLYP 0.02 -165.1 -163.2180969706
BLYP 0.02 -164.8 -162.9207575077
BLYP 0.02 -164.5 -162.6234201129
BLYP 0.02 -164.2 -162.3260847928
BLYP 0.02 -163.9 -162.0287515538
BLYP 0.02 -163.6 -161.7314204024
BLYP 0.02 -163.3 -161.4340913453
BLYP 0.02 -163 -161.136764389
BLYP 0.02 -162.7 -160.8394395402
BLYP 0.02 -162.4 -160.5421168054
BLYP 0.02 -162.1 -160.2447961914
BLYP 0.02 -161.8 -159.947477705
BLYP 0.02 -161.5 -159.6501613527
BLYP 0.02 -161.2 -159.3528471415
BLYP 0.02 -160.9 -159.0555350782
BLYP 0.02 -160.6 -158.7582251695
BLYP 0.02 -160.3 -158.4609174224
BLYP 0.02 -160 -158.1636118438
BLYP 0.02 -159.7 -157.8663084406
BLYP 0.02 -159.4 -157.5690072198
BLYP 0.02 -159.1 -157.2717081884
BLYP 0.02 -158.8 -156.9744113535
BLYP 0.02 -158.5 -156.6771167222
BLYP 0.02 -158.2 -156.3798243015
BLYP 0.02 -157.9 -156.0825340986
BLYP 0.02 -157.6 -155.7852461206
BLYP 0.02 -157.3 -155.4879603749
BLYP 0.02 -157 -155.1906768686
BLYP 0.02 -156.7 -154.8933956091
BLYP 0.02 -156.4 -154.5961166036
BLYP 0.02 -156.1 -154.2988398595
BLYP 0.02 -155.8 -154.0015653842
BLYP 0.02 -155.5 -153.7042931852
BLYP 0.02 -155.2 -153.4070232698
BLYP 0.02 -154.9 -153.1097556456
BLYP 0.02 -154.6 -152.8124903201
BLYP 0.02 -154.3 -152.5152273009
BLYP 0.02 -154 -152.2179665956
BLYP 0.02 -153.7 -151.9207082119
BLYP 0.02 -153.4 -151.6234521574
BLYP 0.02 -153.1 -151.3261984398
BLYP 0.02 -152.8 -151.0289470669
BLYP 0.02 -152.5 -150.7316980466
BLYP 0.02 -152.2 -150.4344513865
BLYP 0.02 -151.9 -150.1372070946
BLYP 0.02 -151.6 -149.8399651789
BLYP 0.02 -151.3 -149.5427256472
BLYP 0.02 -151 -149.2454885075
BLYP 0.02 -150.7 -148.9482537679
BLYP 0.02 -150.4 -148.6510214364
BLYP 0.02 -150.1 -148.3537915212
BLYP 0.02 -149.8 -148.0565640303
BLYP 0.02 -149.5 -147.759338972
BLYP 0.02 -149.2 -147.4621163544
BLYP 0.02 -148.9 -147.1648961859
BLYP 0.02 -148.6 -146.8676784747
BLYP 0.02 -148.3 -146.5704632292
BLYP 0.02 -148 -146.2732504578
BLYP 0.02 -147.7 -145.9760401689
BLYP 0.02 -147.4 -145.678832371
BLYP 0.02 -147.1 -145.3816270725
BLYP 0.02 -146.8 -145.0844242821
BLYP 0.02 -146.5 -144.7872240083
BLYP 0.02 -146.2 -144.4900262597
BLYP 0.02 -145.9 -144.1928310451
BLYP 0.02 -145.6 -143.8956383732
BLYP 0.02 -145.3 -143.5984482527
BLYP 0.02 -145 -143.3012606924
BLYP 0.02 -144.7 -143.0040757012
BLYP 0.02 -144.4 -142.706893288
BLYP 0.02 -144.1 -142.4097134618
BLYP 0.02 -143.8 -142.1125362314
BLYP 0.02 -143.5 -141.815361606
BLYP 0.02 -143.2 -141.5181895946
BLYP 0.02 -142.9 -141.2210202063
