Functional Exponent Coefficient Energy
BLYP 4 -100 -66.3594590893
BLYP 4 -99.85 -66.2405317203
BLYP 4 -99.7 -66.1216292481
BLYP 4 -99.55 -66.0027517085
BLYP 4 -99.4 -65.8838991375
BLYP 4 -99.25 -65.7650715713
BLYP 4 -99.1 -65.6462690461
BLYP 4 -98.95 -65.5274915982
BLYP 4 -98.8 -65.4087392639
BLYP 4 -98.65 -65.2900120798
BLYP 4 -98.5 -65.1713100824
BLYP 4 -98.35 -65.0526333085
BLYP 4 -98.2 -64.9339817948
BLYP 4 -98.05 -64.8153555784
BLYP 4 -97.9 -64.6967546965
BLYP 4 -97.75 -64.5781791864
BLYP 4 -97.6 -64.4596290861
BLYP 4 -97.45 -64.3411044336
BLYP 4 -97.3 -64.2226052681
BLYP 4 -97.15 -64.1041316304
BLYP 4 -97 -63.9856835669
BLYP 4 -96.85 -63.8672614859
BLYP 4 -96.7 -63.7488652059
BLYP 4 -96.55 -63.6304946112
BLYP 4 -96.4 -63.5121497335
BLYP 4 -96.25 -63.3938306072
BLYP 4 -96.1 -63.2755372683
BLYP 4 -95.95 -63.1572697529
BLYP 4 -95.8 -63.0390280981
BLYP 4 -95.65 -62.9208123407
BLYP 4 -95.5 -62.8026225181
BLYP 4 -95.35 -62.6844586676
BLYP 4 -95.2 -62.5663208271
BLYP 4 -95.05 -62.448209034
BLYP 4 -94.9 -62.3301233263
BLYP 4 -94.75 -62.212063742
BLYP 4 -94.6 -62.094030319
BLYP 4 -94.45 -61.9760230957
BLYP 4 -94.3 -61.8580421102
BLYP 4 -94.15 -61.7400874009
BLYP 4 -94 -61.6221590064
BLYP 4 -93.85 -61.5042569651
BLYP 4 -93.7 -61.3863813158
BLYP 4 -93.55 -61.2685320972
BLYP 4 -93.4 -61.1507093481
BLYP 4 -93.25 -61.0329131075
BLYP 4 -93.1 -60.9151434144
BLYP 4 -92.95 -60.7974003081
BLYP 4 -92.8 -60.6796838276
BLYP 4 -92.65 -60.5619940123
BLYP 4 -92.5 -60.4443309018
BLYP 4 -92.35 -60.3266945354
BLYP 4 -92.2 -60.2090849527
BLYP 4 -92.05 -60.0915021936
BLYP 4 -91.9 -59.9739462978
