Functional Exponent Coefficient Energy
BLYP 0.005 -175 -174.4848565629
BLYP 0.005 -174.7 -174.1860430092
BLYP 0.005 -174.4 -173.8872302285
BLYP 0.005 -174.1 -173.5884182225
BLYP 0.005 -173.8 -173.2896069925
BLYP 0.005 -173.5 -172.9907965399
BLYP 0.005 -173.2 -172.6919868662
BLYP 0.005 -172.9 -172.3931779728
BLYP 0.005 -172.6 -172.0943698613
BLYP 0.005 -172.3 -171.795562533
BLYP 0.005 -172 -171.4967559895
BLYP 0.005 -171.7 -171.1979502321
BLYP 0.005 -171.4 -170.8991452625
BLYP 0.005 -171.1 -170.600341082
BLYP 0.005 -170.8 -170.3015376922
BLYP 0.005 -170.5 -170.0027350945
BLYP 0.005 -170.2 -169.7039332905
BLYP 0.005 -169.9 -169.4051322816
BLYP 0.005 -169.6 -169.1063320695
BLYP 0.005 -169.3 -168.8075326555
BLYP 0.005 -169 -168.5087340413
BLYP 0.005 -168.7 -168.2099362284
BLYP 0.005 -168.4 -167.9111392182
BLYP 0.005 -168.1 -167.6123430124
BLYP 0.005 -167.8 -167.3135476125
BLYP 0.005 -167.5 -167.0147530201
BLYP 0.005 -167.2 -166.7159592367
BLYP 0.005 -166.9 -166.4171662639
BLYP 0.005 -166.6 -166.1183741033
BLYP 0.005 -166.3 -165.8195827564
BLYP 0.005 -166 -165.5207922249
BLYP 0.005 -165.7 -165.2220025103
BLYP 0.005 -165.4 -164.9232136143
BLYP 0.005 -165.1 -164.6244255384
BLYP 0.005 -164.8 -164.3256382843
BLYP 0.005 -164.5 -164.0268518537
BLYP 0.005 -164.2 -163.728066248
BLYP 0.005 -163.9 -163.429281469
BLYP 0.005 -163.6 -163.1304975184
BLYP 0.005 -163.3 -162.8317143977
BLYP 0.005 -163 -162.5329321086
BLYP 0.005 -162.7 -162.2341506528
BLYP 0.005 -162.4 -161.9353700319
BLYP 0.005 -162.1 -161.6365902477
BLYP 0.005 -161.8 -161.3378113019
BLYP 0.005 -161.5 -161.039033196
BLYP 0.005 -161.2 -160.7402559319
BLYP 0.005 -160.9 -160.4414795112
BLYP 0.005 -160.6 -160.1427039356
BLYP 0.005 -160.3 -159.8439292069
BLYP 0.005 -160 -159.5451553268
BLYP 0.005 -159.7 -159.2463822971
BLYP 0.005 -159.4 -158.9476101194
BLYP 0.005 -159.1 -158.6488387955
BLYP 0.005 -158.8 -158.3500683273
BLYP 0.005 -158.5 -158.0512987164
BLYP 0.005 -158.2 -157.7525299646
BLYP 0.005 -157.9 -157.4537620738
BLYP 0.005 -157.6 -157.1549950457
BLYP 0.005 -157.3 -156.8562288821
BLYP 0.005 -157 -156.5574635849
BLYP 0.005 -156.7 -156.2586991558
BLYP 0.005 -156.4 -155.9599355966
BLYP 0.005 -156.1 -155.6611729092
BLYP 0.005 -155.8 -155.3624110955
BLYP 0.005 -155.5 -155.0636501573
BLYP 0.005 -155.2 -154.7648900964
BLYP 0.005 -154.9 -154.4661309147
BLYP 0.005 -154.6 -154.1673726141
BLYP 0.005 -154.3 -153.8686151965
BLYP 0.005 -154 -153.5698586637
BLYP 0.005 -153.7 -153.2711030177
BLYP 0.005 -153.4 -152.9723482604
BLYP 0.005 -153.1 -152.6735943936
BLYP 0.005 -152.8 -152.3748414193
BLYP 0.005 -152.5 -152.0760893394
BLYP 0.005 -152.2 -151.7773381559
BLYP 0.005 -151.9 -151.4785878707
BLYP 0.005 -151.6 -151.1798384857
BLYP 0.005 -151.3 -150.881090003
BLYP 0.005 -151 -150.5823424244
BLYP 0.005 -150.7 -150.283595752
BLYP 0.005 -150.4 -149.9848499877
BLYP 0.005 -150.1 -149.6861051335
BLYP 0.005 -149.8 -149.3873611916
BLYP 0.005 -149.5 -149.0886181651
BLYP 0.005 -149.2 -148.7898760622
BLYP 0.005 -148.9 -148.4911348846
BLYP 0.005 -148.6 -148.1923946283
BLYP 0.005 -148.3 -147.8936552943
BLYP 0.005 -148 -147.5949168845
BLYP 0.005 -147.7 -147.296179401
BLYP 0.005 -147.4 -146.997442846
BLYP 0.005 -147.1 -146.6987072215
BLYP 0.005 -146.8 -146.3999725299
BLYP 0.005 -146.5 -146.1012387732
BLYP 0.005 -146.2 -145.8025059536
BLYP 0.005 -145.9 -145.5037740734
BLYP 0.005 -145.6 -145.2050431345
BLYP 0.005 -145.3 -144.9063131394
BLYP 0.005 -145 -144.6075840901
BLYP 0.005 -144.7 -144.308855989
BLYP 0.005 -144.4 -144.0101288381
BLYP 0.005 -144.1 -143.7114026398
BLYP 0.005 -143.8 -143.4126773962
BLYP 0.005 -143.5 -143.1139531098
BLYP 0.005 -143.2 -142.8152297826
BLYP 0.005 -142.9 -142.5165074171
BLYP 0.005 -142.6 -142.2177860155
BLYP 0.005 -142.3 -141.9190655802
BLYP 0.005 -142 -141.6203461135
BLYP 0.005 -141.7 -141.3216276177
BLYP 0.005 -141.4 -141.0229100954
BLYP 0.005 -141.1 -140.7241935489
BLYP 0.005 -140.8 -140.4254779808
BLYP 0.005 -140.5 -140.1267633976
BLYP 0.005 -140.2 -139.8280498156
BLYP 0.005 -139.9 -139.5293372201
BLYP 0.005 -139.6 -139.2306256129
BLYP 0.005 -139.3 -138.9319149962
BLYP 0.005 -139 -138.6332053724
BLYP 0.005 -138.7 -138.3344967438
BLYP 0.005 -138.4 -138.0357891129
BLYP 0.005 -138.1 -137.7370824821
BLYP 0.005 -137.8 -137.4383768539
BLYP 0.005 -137.5 -137.1396722307
BLYP 0.005 -137.2 -136.8409686151
BLYP 0.005 -136.9 -136.5422660095
BLYP 0.005 -136.6 -136.2435644165
BLYP 0.005 -136.3 -135.9448638386
BLYP 0.005 -136 -135.6461642783
BLYP 0.005 -135.7 -135.3474657383
BLYP 0.005 -135.4 -135.0487682212
BLYP 0.005 -135.1 -134.7500717295
BLYP 0.005 -134.8 -134.4513762658
BLYP 0.005 -134.5 -134.1526818328
BLYP 0.005 -134.2 -133.8539884332
BLYP 0.005 -133.9 -133.5552960696
BLYP 0.005 -133.6 -133.2566047447
BLYP 0.005 -133.3 -132.9579144612
BLYP 0.005 -133 -132.6592252217
BLYP 0.005 -132.7 -132.3605370291
BLYP 0.005 -132.4 -132.061849886
BLYP 0.005 -132.1 -131.7631637953
BLYP 0.005 -131.8 -131.4644787597
BLYP 0.005 -131.5 -131.1657947819
BLYP 0.005 -131.2 -130.8671118649
BLYP 0.005 -130.9 -130.5684300114
BLYP 0.005 -130.6 -130.2697492242
BLYP 0.005 -130.3 -129.9710695063
BLYP 0.005 -130 -129.6723908605
BLYP 0.005 -129.7 -129.3737132896
BLYP 0.005 -129.4 -129.0750367967
BLYP 0.005 -129.1 -128.7763613846
BLYP 0.005 -128.8 -128.4776870562
BLYP 0.005 -128.5 -128.1790138146
BLYP 0.005 -128.2 -127.8803416627
BLYP 0.005 -127.9 -127.5816706035
BLYP 0.005 -127.6 -127.28300064
BLYP 0.005 -127.3 -126.9843317753
BLYP 0.005 -127 -126.6856640125
BLYP 0.005 -126.7 -126.3869973545
BLYP 0.005 -126.4 -126.0883318045
BLYP 0.005 -126.1 -125.7896673655
BLYP 0.005 -125.8 -125.4910040408
BLYP 0.005 -125.5 -125.1923418335
BLYP 0.005 -125.2 -124.8936807468
BLYP 0.005 -124.9 -124.5950207837
BLYP 0.005 -124.6 -124.2963619477
BLYP 0.005 -124.3 -123.9977042418
BLYP 0.005 -124 -123.6990476694
BLYP 0.005 -123.7 -123.4003922337
BLYP 0.005 -123.4 -123.1017379381
BLYP 0.005 -123.1 -122.8030847859
BLYP 0.005 -122.8 -122.5044327805
BLYP 0.005 -122.5 -122.2057819256
BLYP 0.005 -122.2 -121.9071322311
BLYP 0.005 -121.9 -121.6084836957
BLYP 0.005 -121.6 -121.3098363211
BLYP 0.005 -121.3 -121.0111901106
BLYP 0.005 -121 -120.7125450676
BLYP 0.005 -120.7 -120.4139011955
BLYP 0.005 -120.4 -120.1152584978
BLYP 0.005 -120.1 -119.816616978
BLYP 0.005 -119.8 -119.5179766413
BLYP 0.005 -119.5 -119.21933749
BLYP 0.005 -119.2 -118.920699527
BLYP 0.005 -118.9 -118.622062756
BLYP 0.005 -118.6 -118.3234271807
BLYP 0.005 -118.3 -118.0247928047
BLYP 0.005 -118 -117.7261596318
BLYP 0.005 -117.7 -117.4275276657
BLYP 0.005 -117.4 -117.1288969101
BLYP 0.005 -117.1 -116.8302673688
BLYP 0.005 -116.8 -116.5316390456
BLYP 0.005 -116.5 -116.2330119445
BLYP 0.005 -116.2 -115.9343860695
BLYP 0.005 -115.9 -115.6357614241
BLYP 0.005 -115.6 -115.3371380121
BLYP 0.005 -115.3 -115.0385158377
BLYP 0.005 -115 -114.7398949046
BLYP 0.005 -114.7 -114.4412752176
BLYP 0.005 -114.4 -114.1426567807
BLYP 0.005 -114.1 -113.8440395973
BLYP 0.005 -113.8 -113.5454236716
BLYP 0.005 -113.5 -113.2468090075
BLYP 0.005 -113.2 -112.9481956093
BLYP 0.005 -112.9 -112.649583481
BLYP 0.005 -112.6 -112.3509726269
BLYP 0.005 -112.3 -112.0523630511
BLYP 0.005 -112 -111.7537547578
BLYP 0.005 -111.7 -111.4551477513
BLYP 0.005 -111.4 -111.156542036
BLYP 0.005 -111.1 -110.857937616
BLYP 0.005 -110.8 -110.5593344959
BLYP 0.005 -110.5 -110.2607326799
BLYP 0.005 -110.2 -109.9621321725
BLYP 0.005 -109.9 -109.6635329781
BLYP 0.005 -109.6 -109.3649351011
BLYP 0.005 -109.3 -109.0663385462
BLYP 0.005 -109 -108.7677433178
BLYP 0.005 -108.7 -108.4691494204
BLYP 0.005 -108.4 -108.1705568602
BLYP 0.005 -108.1 -107.8719656404
BLYP 0.005 -107.8 -107.5733757658
BLYP 0.005 -107.5 -107.274787241
BLYP 0.005 -107.2 -106.9762000709
BLYP 0.005 -106.9 -106.6776142601
BLYP 0.005 -106.6 -106.3790298136
BLYP 0.005 -106.3 -106.0804467361
BLYP 0.005 -106 -105.7818650325
BLYP 0.005 -105.7 -105.4832847084
BLYP 0.005 -105.4 -105.1847057684
BLYP 0.005 -105.1 -104.8861282173
BLYP 0.005 -104.8 -104.5875520599
BLYP 0.005 -104.5 -104.2889773029
BLYP 0.005 -104.2 -103.9904039501
BLYP 0.005 -103.9 -103.6918320065
BLYP 0.005 -103.6 -103.3932614773
